accepted_texture,batch_patch_rel_dir,best_dx_px,best_dy_px,center_x,center_y,dom_depth,dom_dom_col,dom_dom_hit,dom_dom_row,dom_dom_sampling_mode,dom_dsm_height,dom_dsm_sampling_mode,dom_hit,dom_patch_rel,dom_ray_refine_iters,dom_x_raster,dom_y_raster,dom_z_ray,edge_chamfer_after,edge_chamfer_before,edge_chamfer_improvement,edge_overlap_after,edge_overlap_before,edge_overlay_after_rel,edge_overlay_before_rel,high_confidence,image_name,image_output_dir,index,label_reason,ncc_score,offset_norm_px,overlay_after_rel,overlay_before_rel,patch_label,patch_rel_dir,per_image_direction_consistency,per_image_high_confidence_patch_count,phase_dx_px,phase_dy_px,phase_response,query_dom_gradient_orientation,query_dom_hist_distance,query_dom_ncc,query_dom_ssim,query_edge_count,query_gradient,query_image,query_patch_rel,query_render_gradient_orientation,query_render_hist_distance,query_render_ncc,query_render_ssim,render_dom_gradient_orientation,render_dom_hist_distance,render_dom_ncc,render_dom_ssim,render_edge_count,render_gradient,render_patch_rel,texture_score,triplet_rel,xml_photo_id
True,images/000_0000/patches/patch_000,-29.0,-31.0,1232,2256,372.9794921875,3207,True,4661,bilinear,17.67225456237793,bilinear,True,patches/patch_000/dom.png,10,253832.85988781482,3365037.107887218,17.672620364537863,6.890226364135742,11.37101936340332,4.480792999267578,0.6746506986027944,0.31851851851851853,patches/patch_000/edge_overlay_after.png,patches/patch_000/edge_overlay_before.png,True,0000.jpg,images/000_0000,0,query-DOM and render-DOM similarities are both low,0.25022825598716736,42.44997055358225,patches/patch_000/overlay_after.png,patches/patch_000/overlay_before.png,texture_mismatch,patches/patch_000,0.2409525385191819,19,-29.53660810387396,-30.97791766744683,0.3223819099366665,0.6192070841789246,0.8293692011854296,-0.00980872381478548,0.03615096401016258,2229,112.79696655273438,data_caiwangcun/query/images/exif_test/0000.jpg,patches/patch_000/query.png,0.6823350787162781,0.8428781466778987,0.25022801756858826,0.28228355114050213,0.6433015465736389,0.2716059539313435,0.021571801975369453,0.07329701420454188,1215,94.38725280761719,patches/patch_000/render.png,106.5372528076172,patches/patch_000/triplet_query_render_dom.png,7
True,images/000_0000/patches/patch_001,-8.0,6.0,208,208,367.5966796875,4535,True,5573,bilinear,21.434619903564453,bilinear,True,patches/patch_001/dom.png,10,254018.86521752592,3364909.401993792,21.434824970666284,12.819969177246094,11.984582901000977,-0.8353862762451172,0.2706592386258124,0.28650963597430407,patches/patch_001/edge_overlay_after.png,patches/patch_001/edge_overlay_before.png,False,0000.jpg,images/000_0000,1,query-DOM and render-DOM similarities are both low,0.06609489768743515,10.0,patches/patch_001/overlay_after.png,patches/patch_001/overlay_before.png,texture_mismatch,patches/patch_001,0.2409525385191819,19,13.547712275872854,-21.809726363351956,0.03026062424760312,0.6463927030563354,0.5290738536373485,0.13034197688102722,0.13884672535109563,2589,84.15889739990234,data_caiwangcun/query/images/exif_test/0000.jpg,patches/patch_001/query.png,0.6496899127960205,0.5328649944850568,0.06609431654214859,0.07809723557303153,0.656819224357605,0.2138405282968225,-0.0149106215685606,0.005867026735531512,2335,70.36795806884766,patches/patch_001/render.png,93.71795806884765,patches/patch_001/triplet_query_render_dom.png,7
True,images/000_0000/patches/patch_002,40.0,-4.0,4816,720,366.6767578125,1531,True,6853,bilinear,25.26514434814453,bilinear,True,patches/patch_002/dom.png,10,253598.14263442514,3364730.0482594897,25.26438351270184,16.638591766357422,15.499022483825684,-1.1395692825317383,0.16760828625235405,0.3416557161629435,patches/patch_002/edge_overlay_after.png,patches/patch_002/edge_overlay_before.png,False,0000.jpg,images/000_0000,2,query-DOM and render-DOM similarities are both low,0.11716774851083755,40.19950248448356,patches/patch_002/overlay_after.png,patches/patch_002/overlay_before.png,texture_mismatch,patches/patch_002,0.2409525385191819,19,-3.4229041628687185,-13.500846437093344,-0.014721890562213957,0.7129292488098145,0.27784919255499235,-0.0007006158703006804,0.03695074487101869,2547,96.67784118652344,data_caiwangcun/query/images/exif_test/0000.jpg,patches/patch_002/query.png,0.6520062685012817,0.2690652565314853,0.11716657876968384,0.1518706807989275,0.6922678351402283,0.11092500062592751,0.05907431244850159,0.09754109023540004,761,71.97056579589844,patches/patch_002/render.png,79.58056579589844,patches/patch_002/triplet_query_render_dom.png,7
True,images/000_0000/patches/patch_003,-48.0,-77.0,720,720,371.9384765625,4062,True,5437,bilinear,17.62761688232422,bilinear,True,patches/patch_003/dom.png,10,253952.61037611112,3364928.396820028,17.627412660728226,8.706275939941406,11.911250114440918,3.2049741744995117,0.39438596491228073,0.3159722222222222,patches/patch_003/edge_overlay_after.png,patches/patch_003/edge_overlay_before.png,True,0000.jpg,images/000_0000,3,query-DOM and render-DOM similarities are both low,0.3921690583229065,90.7358804442873,patches/patch_003/overlay_after.png,patches/patch_003/overlay_before.png,texture_mismatch,patches/patch_003,0.2409525385191819,19,-54.06235875812766,-38.18357177549737,0.0581049169995822,0.645164966583252,0.5700595608403457,-0.19837431609630585,-0.1416890718246062,2215,92.33438873291016,data_caiwangcun/query/images/exif_test/0000.jpg,patches/patch_003/query.png,0.6439995765686035,0.7146831199622361,0.39216870069503784,0.4096583270316124,0.6488673090934753,0.2831849120933026,-0.20853692293167114,-0.14795210378568122,1440,62.89565658569336,patches/patch_003/render.png,77.29565658569337,patches/patch_003/triplet_query_render_dom.png,7
True,images/000_0000/patches/patch_004,27.0,-23.0,2256,720,363.6884765625,3093,True,5962,bilinear,26.789871215820312,bilinear,True,patches/patch_004/dom.png,10,253816.9423497706,3364854.8330717515,26.79049773308907,13.870205879211426,15.197759628295898,1.3275537490844727,0.6295681063122923,0.2254601226993865,patches/patch_004/edge_overlay_after.png,patches/patch_004/edge_overlay_before.png,True,0000.jpg,images/000_0000,4,high confidence with strong query-render photometric and edge agreement,0.6237667202949524,35.4682957019364,patches/patch_004/overlay_after.png,patches/patch_004/overlay_before.png,stable_match,patches/patch_004,0.2409525385191819,19,27.801403296437442,-24.071084688730735,0.29161019588354975,0.6440163850784302,0.2064536236362346,-0.03450574353337288,-0.0069826308470984635,3337,98.10064697265625,data_caiwangcun/query/images/exif_test/0000.jpg,patches/patch_004/query.png,0.6748142242431641,0.24755535707210038,0.6237672567367554,0.617138282992854,0.6332648992538452,0.10047404314154976,-0.05192635580897331,-0.01804258780650387,652,68.93810272216797,patches/patch_004/render.png,75.45810272216796,patches/patch_004/triplet_query_render_dom.png,7
True,images/000_0000/patches/patch_005,23.0,12.0,3280,1232,360.1298828125,2297,True,5996,bilinear,31.18954849243164,bilinear,True,patches/patch_005/dom.png,10,253705.43750371426,3364850.05372887,31.189408095552153,9.848369598388672,12.450748443603516,2.6023788452148438,1.3294629898403483,0.5313953488372093,patches/patch_005/edge_overlay_after.png,patches/patch_005/edge_overlay_before.png,True,0000.jpg,images/000_0000,5,high confidence with strong query-render photometric and edge agreement,0.5532045960426331,25.942243542145693,patches/patch_005/overlay_after.png,patches/patch_005/overlay_before.png,stable_match,patches/patch_005,0.2409525385191819,19,22.15841376046299,12.893877515071594,0.44099896983243525,0.6485506892204285,0.3715529680843146,-0.04961467906832695,-0.012382053884125764,4098,108.87130737304688,data_caiwangcun/query/images/exif_test/0000.jpg,patches/patch_005/query.png,0.7161842584609985,0.4346237205092527,0.5532051920890808,0.5464808570302087,0.6368985176086426,0.12063340591635865,-0.04347604140639305,0.005101660786609725,860,62.8648567199707,patches/patch_005/render.png,71.4648567199707,patches/patch_005/triplet_query_render_dom.png,7
True,images/000_0000/patches/patch_006,-24.0,41.0,3280,3280,365.9091796875,1587,True,4755,bilinear,26.446178436279297,bilinear,True,patches/patch_006/dom.png,10,253606.0535113846,3365023.8607836543,26.446477674290634,8.145234107971191,21.654741287231445,13.509507179260254,1.1703296703296704,0.28869047619047616,patches/patch_006/edge_overlay_after.png,patches/patch_006/edge_overlay_before.png,True,0000.jpg,images/000_0000,6,high confidence with strong query-render photometric and edge agreement,0.5799530148506165,47.50789408087881,patches/patch_006/overlay_after.png,patches/patch_006/overlay_before.png,stable_match,patches/patch_006,0.2409525385191819,19,-24.543357105745656,40.53899698227073,0.23726388724753633,0.6340817809104919,0.5999355602710298,-0.10409224033355713,-0.06832181980547947,2545,101.62081909179688,data_caiwangcun/query/images/exif_test/0000.jpg,patches/patch_006/query.png,0.6966044902801514,0.5979458760101051,0.5799531936645508,0.5800608959521852,0.6336526870727539,0.17754648936248724,-0.1624421775341034,-0.11677607047374139,672,63.24577713012695,patches/patch_006/render.png,69.96577713012695,patches/patch_006/triplet_query_render_dom.png,7
True,images/000_0000/patches/patch_007,18.0,30.0,3792,1744,363.4521484375,1809,True,5867,bilinear,28.414653778076172,bilinear,True,patches/patch_007/dom.png,10,253637.12560608718,3364868.140538874,28.415733681049176,9.72495174407959,12.934098243713379,3.209146499633789,0.7640449438202247,0.33624454148471616,patches/patch_007/edge_overlay_after.png,patches/patch_007/edge_overlay_before.png,True,0000.jpg,images/000_0000,7,high confidence with strong query-render photometric and edge agreement,0.7404764294624329,34.9857113690718,patches/patch_007/overlay_after.png,patches/patch_007/overlay_before.png,stable_match,patches/patch_007,0.2409525385191819,19,18.08065446338891,29.954406911155957,0.4980555451475084,0.6488256454467773,0.489148508785365,-0.007019271608442068,0.01639972604187075,2591,90.62324523925781,data_caiwangcun/query/images/exif_test/0000.jpg,patches/patch_007/query.png,0.7287334203720093,0.49280111210159067,0.740476667881012,0.7307300261289067,0.6395646333694458,0.1147186833750297,0.00014050721074454486,0.028670284651847313,687,60.63720703125,patches/patch_007/render.png,67.50720703125,patches/patch_007/triplet_query_render_dom.png,7
True,images/000_0000/patches/patch_008,-57.0,9.0,1744,3280,366.7841796875,2526,True,4222,bilinear,24.692567825317383,bilinear,True,patches/patch_008/dom.png,10,253737.5299108832,3365098.5278884917,24.692272823822805,13.414128303527832,23.261350631713867,9.847222328186035,1.16015625,0.29333333333333333,patches/patch_008/edge_overlay_after.png,patches/patch_008/edge_overlay_before.png,True,0000.jpg,images/000_0000,8,query-DOM and render-DOM similarities are both low,0.41393226385116577,57.706152185014034,patches/patch_008/overlay_after.png,patches/patch_008/overlay_before.png,texture_mismatch,patches/patch_008,0.2409525385191819,19,-52.10832510532572,3.908314435471496,0.27398889418691397,0.6430531740188599,0.595582362666842,-0.010181010700762272,0.042699743666209634,1614,83.36021423339844,data_caiwangcun/query/images/exif_test/0000.jpg,patches/patch_008/query.png,0.6968232989311218,0.6313877622483451,0.4139319956302643,0.4384832628512489,0.6408106088638306,0.2605367718328827,-0.010914139449596405,0.05188889700741735,600,61.489253997802734,patches/patch_008/render.png,67.48925399780273,patches/patch_008/triplet_query_render_dom.png,7
True,images/000_0000/patches/patch_009,71.0,30.0,720,208,367.5126953125,4220,True,5750,bilinear,21.81302833557129,bilinear,True,patches/patch_009/dom.png,10,253974.7897074433,3364884.5369987674,21.81381162683948,17.752166748046875,10.919551849365234,-6.832614898681641,0.46321243523316064,0.36019242333132895,patches/patch_009/edge_overlay_after.png,patches/patch_009/edge_overlay_before.png,False,0000.jpg,images/000_0000,9,query-DOM and render-DOM similarities are both low,0.13606223464012146,77.07788269017254,patches/patch_009/overlay_after.png,patches/patch_009/overlay_before.png,texture_mismatch,patches/patch_009,0.2409525385191819,19,14.670349343392402,43.283396636794365,0.007344461162574589,0.6300709843635559,0.6726966443619009,0.04398336261510849,0.056038937714594894,4446,81.15531158447266,data_caiwangcun/query/images/exif_test/0000.jpg,patches/patch_009/query.png,0.6612616777420044,0.7570387975431496,0.1360621601343155,0.13969050325578122,0.6249541640281677,0.2585241163892324,-0.21123643219470978,-0.19382018194561682,1663,48.29444122314453,patches/patch_009/render.png,64.92444122314453,patches/patch_009/triplet_query_render_dom.png,7
True,images/000_0000/patches/patch_010,32.0,54.0,4304,2256,365.4072265625,1316,True,5734,bilinear,27.01569175720215,bilinear,True,patches/patch_010/dom.png,10,253568.16076415704,3364886.775656316,27.015139129057843,11.190974235534668,16.35541343688965,5.1644392013549805,0.7496688741721854,0.22535211267605634,patches/patch_010/edge_overlay_after.png,patches/patch_010/edge_overlay_before.png,True,0000.jpg,images/000_0000,10,query-DOM and render-DOM similarities are both low,0.3944653868675232,62.76941930590086,patches/patch_010/overlay_after.png,patches/patch_010/overlay_before.png,texture_mismatch,patches/patch_010,0.2409525385191819,19,-2.247627339609835,-9.902139051064182,0.03858967759879306,0.6482182741165161,0.3786548400541064,0.03344958275556564,0.06448244370496257,3317,95.11699676513672,data_caiwangcun/query/images/exif_test/0000.jpg,patches/patch_010/query.png,0.6914823651313782,0.35829948069589446,0.39446499943733215,0.4014403275016921,0.6412962675094604,0.10230437360691216,-0.016335612162947655,0.0274679605973233,852,56.398345947265625,patches/patch_010/render.png,64.91834594726562,patches/patch_010/triplet_query_render_dom.png,7
True,images/000_0000/patches/patch_011,-6.0,-42.0,208,3280,363.2060546875,3457,True,3707,bilinear,27.395549774169922,bilinear,True,patches/patch_011/dom.png,10,253867.90111518226,3365170.731872672,27.39575276934147,32.66706085205078,31.731101989746094,-0.9359588623046875,0.08545454545454545,0.03625954198473282,patches/patch_011/edge_overlay_after.png,patches/patch_011/edge_overlay_before.png,False,0000.jpg,images/000_0000,11,query-DOM and render-DOM similarities are both low,0.11533951014280319,42.42640687119285,patches/patch_011/overlay_after.png,patches/patch_011/overlay_before.png,texture_mismatch,patches/patch_011,0.2409525385191819,19,-28.358241400709744,22.698314448346324,0.015107500308658928,0.6354550719261169,0.8394264992047278,-0.04605378210544586,0.03186081140142499,687,59.73566436767578,data_caiwangcun/query/images/exif_test/0000.jpg,patches/patch_011/query.png,0.6420989632606506,0.8545588367461625,0.11533815413713455,0.1829480474167245,0.6282880306243896,0.08333362476103917,-0.008231665939092636,0.06727171424854232,524,59.600128173828125,patches/patch_011/render.png,64.84012817382812,patches/patch_011/triplet_query_render_dom.png,7
