backend_used,corr_dx_x,corr_dy_y,corr_norm_radius,delta_pitch_deg,delta_roll_deg,delta_yaw_deg,direction_consistency,edge_edge_chamfer,edge_edge_overlap_count,edge_edge_overlap_ratio,edge_query_edge_count,edge_render_edge_count,fallback_reason,good_matches,image_name,inlier_ratio,inliers,median_dx_px,median_dy_px,median_residual_norm_px,p90_residual_norm_px,query_image,query_keypoints,render_keypoints,render_path,render_time_sec,rendered_now,rotation_perturbation,scale,status,xml_photo_id
,0.5194665393246202,0.5837366235154118,0.9527821624801986,0.0,-0.1,0.0,0.7267577648162842,12.351720809936523,4398,0.35502098805295446,21217,12388,,1810,0000,0.7657458563535912,1386,19.105712890625,24.2801513671875,36.426292419433594,68.47776794433594,data_caiwangcun/query/images/exif_test/0000.jpg,9000,9000,docs/experiments/dom_dsm_prepare/query_render_pose_residual_grid/renders/000_0000/render_photo7_dpp0p00_drm0p10_dyp0p00.png,0.0,False,R_perturbed = R_xml.T @ R_delta_camera_local_xyz,0.25,ok,7
,0.46708507876665156,0.595353749161433,0.9714075592091874,0.0,0.0,-0.1,0.7140784859657288,11.873625755310059,4322,0.3472043701799486,21217,12448,,1787,0000,0.7627308337996642,1363,13.334716796875,27.00390625,36.46356964111328,70.06928253173828,data_caiwangcun/query/images/exif_test/0000.jpg,9000,9000,docs/experiments/dom_dsm_prepare/query_render_pose_residual_grid/renders/000_0000/render_photo7_dpp0p00_drp0p00_dym0p10.png,0.0,False,R_perturbed = R_xml.T @ R_delta_camera_local_xyz,0.25,ok,7
,0.5434002231912957,0.6119391913328645,0.9622914911025315,0.0,0.0,0.1,0.68451988697052,12.223788261413574,4450,0.3586684935923269,21217,12407,,1815,0000,0.768595041322314,1395,12.10693359375,22.0799560546875,31.980609893798828,63.58592987060547,data_caiwangcun/query/images/exif_test/0000.jpg,9000,9000,docs/experiments/dom_dsm_prepare/query_render_pose_residual_grid/renders/000_0000/render_photo7_dpp0p00_drp0p00_dyp0p10.png,0.0,False,R_perturbed = R_xml.T @ R_delta_camera_local_xyz,0.25,ok,7
,0.3873588811451031,0.6889641384622494,0.9452783650679392,0.0,0.1,0.0,0.6968976259231567,11.480913162231445,4446,0.35863515366620957,21217,12397,,1840,0000,0.7347826086956522,1352,6.7789306640625,25.502685546875,33.23529815673828,64.023681640625,data_caiwangcun/query/images/exif_test/0000.jpg,9000,9000,docs/experiments/dom_dsm_prepare/query_render_pose_residual_grid/renders/000_0000/render_photo7_dpp0p00_drp0p10_dyp0p00.png,0.0,False,R_perturbed = R_xml.T @ R_delta_camera_local_xyz,0.25,ok,7
,0.46366256407520984,0.6949687315608479,0.9606121394705813,0.05,-0.05,0.0,0.820100724697113,12.296188354492188,4147,0.33360148017054136,21217,12431,,1808,0000,0.745575221238938,1348,17.9219970703125,30.5853271484375,38.124176025390625,73.14784240722656,data_caiwangcun/query/images/exif_test/0000.jpg,9000,9000,docs/experiments/dom_dsm_prepare/query_render_pose_residual_grid/renders/000_0000/render_photo7_dpp0p05_drm0p05_dyp0p00.png,0.0,False,R_perturbed = R_xml.T @ R_delta_camera_local_xyz,0.25,ok,7
,0.7075272107756109,0.5828787222800302,0.9534457963344455,0.05,0.05,0.0,0.889289379119873,11.701757431030273,4260,0.3453027478317257,21217,12337,,1801,0000,0.6851749028317601,1234,10.1112060546875,37.15057373046875,41.19318771362305,81.63594055175781,data_caiwangcun/query/images/exif_test/0000.jpg,9000,9000,docs/experiments/dom_dsm_prepare/query_render_pose_residual_grid/renders/000_0000/render_photo7_dpp0p05_drp0p05_dyp0p00.png,0.0,False,R_perturbed = R_xml.T @ R_delta_camera_local_xyz,0.25,ok,7
,0.48674411479960805,0.6455461590184448,0.9423560476820306,0.1,0.0,0.0,0.7892836928367615,12.209450721740723,4364,0.34305479128999294,21217,12721,,1813,0000,0.7920573634859349,1436,13.9146728515625,31.60235595703125,38.58094024658203,74.73529052734375,data_caiwangcun/query/images/exif_test/0000.jpg,9000,9000,docs/experiments/dom_dsm_prepare/query_render_pose_residual_grid/renders/000_0000/render_photo7_dpp0p10_drp0p00_dyp0p00.png,0.0,False,R_perturbed = R_xml.T @ R_delta_camera_local_xyz,0.25,ok,7
,0.8896940919989904,0.32169967652717063,0.9623505255588143,0.0,0.0,0.0,0.7623759508132935,9.935392379760742,8200,0.38510308552106326,26928,21293,,1741,0001,0.5152211372774268,897,26.4052734375,36.058349609375,64.89307403564453,115.61210632324219,data_caiwangcun/query/images/exif_test/0001.JPG,9000,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/001_0001/gpu_pinhole_render.png,0.0,False,R_perturbed = R_xml.T @ R_delta_camera_local_xyz,0.25,ok,13
,0.8903364320284526,0.380848530967583,0.9585802578429984,-0.05,0.0,0.0,0.7405256628990173,9.836236000061035,8266,0.3901080749445467,26928,21189,,1762,0001,0.5340522133938707,941,41.4462890625,30.328369140625,76.14144134521484,121.72418212890625,data_caiwangcun/query/images/exif_test/0001.JPG,9000,9000,docs/experiments/dom_dsm_prepare/query_render_pose_residual_grid/renders/001_0001/render_photo13_dpm0p05_drp0p00_dyp0p00.png,0.0,False,R_perturbed = R_xml.T @ R_delta_camera_local_xyz,0.25,ok,13
,0.8143085259095165,0.45569820007943906,0.9552225242837179,0.0,-0.05,0.0,0.6274831891059875,10.005537033081055,7948,0.3726731373376471,26928,21327,,1765,0001,0.5495750708215298,970,17.0072021484375,21.8680419921875,56.282737731933594,114.94242858886719,data_caiwangcun/query/images/exif_test/0001.JPG,9000,9001,docs/experiments/dom_dsm_prepare/query_render_pose_residual_grid/renders/001_0001/render_photo13_dpp0p00_drm0p05_dyp0p00.png,0.0,False,R_perturbed = R_xml.T @ R_delta_camera_local_xyz,0.25,ok,13
