accepted_texture,best_dx_px,best_dy_px,center_x,center_y,dom_depth,dom_dom_col,dom_dom_hit,dom_dom_row,dom_dom_sampling_mode,dom_dsm_height,dom_dsm_sampling_mode,dom_hit,dom_patch_rel,dom_ray_refine_iters,dom_x_raster,dom_y_raster,dom_z_ray,edge_chamfer_after,edge_chamfer_before,edge_chamfer_improvement,edge_overlap_after,edge_overlap_before,edge_overlay_after_rel,edge_overlay_before_rel,high_confidence,index,ncc_score,offset_norm_px,overlay_after_rel,overlay_before_rel,patch_rel_dir,phase_dx_px,phase_dy_px,phase_response,query_dom_gradient_orientation,query_dom_hist_distance,query_dom_ncc,query_dom_ssim,query_edge_count,query_gradient,query_patch_rel,query_render_gradient_orientation,query_render_hist_distance,query_render_ncc,query_render_ssim,render_dom_gradient_orientation,render_dom_hist_distance,render_dom_ncc,render_dom_ssim,render_edge_count,render_gradient,render_patch_rel,texture_score,triplet_rel
True,-26.0,-34.0,208,2256,371.3916015625,4516,True,5591,bilinear,19.18553924560547,bilinear,True,patches/patch_000/dom.png,10,254016.2439934989,3364906.8411891377,19.185103634729103,7.996895790100098,10.929533004760742,2.9326372146606445,0.4326530612244898,0.385233918128655,patches/patch_000/edge_overlay_after.png,patches/patch_000/edge_overlay_before.png,False,0,0.22797715663909912,42.80186911806539,patches/patch_000/overlay_after.png,patches/patch_000/overlay_before.png,patches/patch_000,-43.94040489262693,0.9992000474415903,-0.01062818500213325,0.6261499524116516,0.4609100985408717,-0.12107546627521515,-0.09938964076037658,4947,109.24166107177734,patches/patch_000/query.png,0.6544379591941833,0.4412617402639533,0.2279769778251648,0.23406111518330758,0.6693158149719238,0.16142366689529314,-0.08233793824911118,-0.06283311629956863,2736,77.22693634033203,patches/patch_000/render.png,104.58693634033203,patches/patch_000/triplet_query_render_dom.png
True,11.0,-68.0,208,720,365.8037109375,5033,True,6541,bilinear,23.37308120727539,bilinear,True,patches/patch_001/dom.png,10,254088.69328116853,3364773.81366606,23.372329288705544,33.609375,33.279579162597656,-0.32979583740234375,0.12864493996569468,0.3353893600616808,patches/patch_001/edge_overlay_after.png,patches/patch_001/edge_overlay_before.png,False,1,0.4159867465496063,68.8839603971781,patches/patch_001/overlay_after.png,patches/patch_001/overlay_before.png,patches/patch_001,-52.72599007062658,43.82812325934917,0.02793717267923057,0.6434456706047058,0.768315123067699,-0.13950732350349426,-0.11848775758778633,2594,56.81391143798828,patches/patch_001/query.png,0.6736518144607544,0.7601905427892998,0.41598641872406006,0.4194979509352915,0.6556169390678406,0.2367480148485265,-0.2190650850534439,-0.18495993143916992,2800,55.793155670166016,patches/patch_001/render.png,81.73315567016601,patches/patch_001/triplet_query_render_dom.png
True,-28.0,36.0,3280,3280,366.1083984375,2268,True,6060,bilinear,26.894012451171875,bilinear,True,patches/patch_002/dom.png,10,253701.42539439417,3364841.119057844,26.893436796361414,12.938705444335938,20.588102340698242,7.649396896362305,1.2887828162291168,0.7632508833922261,patches/patch_002/edge_overlay_after.png,patches/patch_002/edge_overlay_before.png,False,2,0.43335485458374023,45.60701700396552,patches/patch_002/overlay_after.png,patches/patch_002/overlay_before.png,patches/patch_002,-9.375121797842183,-35.37704292475121,0.010858692927286029,0.6453588604927063,0.43769626646903287,-0.012634357437491417,0.020728706969942837,5240,113.50969696044922,patches/patch_002/query.png,0.6679044365882874,0.43973803766061886,0.4333551228046417,0.4320362397199681,0.6490812301635742,0.13498991148059564,-0.012013474479317665,0.033280184464536934,849,66.9810791015625,patches/patch_002/render.png,75.4710791015625,patches/patch_002/triplet_query_render_dom.png
True,-58.0,-57.0,720,1744,372.0263671875,4384,True,6088,bilinear,18.317996978759766,bilinear,True,patches/patch_003/dom.png,10,253997.78276112903,3364837.2113003084,18.318249057006653,5.194789886474609,19.89834213256836,14.70355224609375,0.6727005870841487,0.21715686274509804,patches/patch_003/edge_overlay_after.png,patches/patch_003/edge_overlay_before.png,True,3,0.6182056069374084,81.32035415564789,patches/patch_003/overlay_after.png,patches/patch_003/overlay_before.png,patches/patch_003,-50.31996654250233,-53.24194783459919,0.16509887611027807,0.6254411339759827,0.7076275551054616,-0.11997535824775696,-0.09736611389193307,3036,63.54896545410156,patches/patch_003/query.png,0.7001832723617554,0.7152694165043882,0.6182055473327637,0.6140202258470051,0.6491109728813171,0.3029164781308178,-0.08353756368160248,-0.05837503011075374,2040,53.48967361450195,patches/patch_003/render.png,73.88967361450196,patches/patch_003/triplet_query_render_dom.png
True,-80.0,80.0,208,1744,365.4755859375,4673,True,5919,bilinear,24.64334487915039,bilinear,True,patches/patch_004/dom.png,10,254038.26294775735,3364860.908599733,24.644352719329845,8.772510528564453,20.757015228271484,11.984504699707031,0.5102813852813853,0.20438737292669876,patches/patch_004/edge_overlay_after.png,patches/patch_004/edge_overlay_before.png,False,4,0.306110680103302,113.13708498984761,patches/patch_004/overlay_after.png,patches/patch_004/overlay_before.png,patches/patch_004,-93.84769798772916,-12.160493997516227,0.006918027065694332,0.6597866415977478,0.5942683723922999,0.023657068610191345,0.036153069431787796,3201,80.2721176147461,patches/patch_004/query.png,0.6602162718772888,0.686614275558262,0.30611100792884827,0.3134369806280011,0.6258590221405029,0.452085192649022,-0.14426155388355255,-0.12694353864689534,1869,54.960697174072266,patches/patch_004/render.png,73.65069717407226,patches/patch_004/triplet_query_render_dom.png
True,-52.0,2.0,1744,3280,367.2177734375,3203,True,5518,bilinear,25.051225662231445,bilinear,True,patches/patch_005/dom.png,10,253832.34925727034,3364917.0302866283,25.051985535617064,13.272445678710938,16.159687042236328,2.8872413635253906,0.734,0.2892561983471074,patches/patch_005/edge_overlay_after.png,patches/patch_005/edge_overlay_before.png,True,5,0.5472025275230408,52.03844732503075,patches/patch_005/overlay_after.png,patches/patch_005/overlay_before.png,patches/patch_005,-53.633529702894975,2.1211720829022056,0.2412494223099202,0.6323108077049255,0.3979906049059831,-0.040223948657512665,-0.0020922058191248185,2248,79.49873352050781,patches/patch_005/query.png,0.6711534261703491,0.38235288825642444,0.5472021698951721,0.554962320040209,0.6360093355178833,0.17234639743366145,-0.06182309240102768,-0.016506699608362773,847,63.87700653076172,patches/patch_005/render.png,72.34700653076172,patches/patch_005/triplet_query_render_dom.png
True,78.0,58.0,4816,2768,367.7236328125,1506,True,6911,bilinear,25.548625946044922,bilinear,True,patches/patch_006/dom.png,10,253594.6657601567,3364721.902749373,25.548908934628685,16.614662170410156,21.86223602294922,5.2475738525390625,0.26652452025586354,0.165374677002584,patches/patch_006/edge_overlay_after.png,patches/patch_006/edge_overlay_before.png,False,6,0.0919225811958313,97.20082304178294,patches/patch_006/overlay_after.png,patches/patch_006/overlay_before.png,patches/patch_006,17.114646588273573,40.618143770641865,-0.019737393246032298,0.695209264755249,0.46836486946386524,0.012847783043980598,0.05140642957229071,2299,94.58837127685547,patches/patch_006/query.png,0.7428550720214844,0.4256985224668333,0.09192286431789398,0.128005540170939,0.6764963865280151,0.12487623225734154,0.014584929682314396,0.05804420598266673,387,65.5089340209961,patches/patch_006/render.png,69.3789340209961,patches/patch_006/triplet_query_render_dom.png
True,-12.0,-55.0,1232,1232,371.1240234375,4247,True,6587,bilinear,18.99287986755371,bilinear,True,patches/patch_007/dom.png,10,253978.61321328697,3364767.3026160025,18.993300215356328,7.032756328582764,12.393839836120605,5.361083507537842,0.9508426966292135,0.437046004842615,patches/patch_007/edge_overlay_after.png,patches/patch_007/edge_overlay_before.png,True,7,0.5628054738044739,56.293871780150276,patches/patch_007/overlay_after.png,patches/patch_007/overlay_before.png,patches/patch_007,-8.543332876707183,-49.1334020665584,0.19416909362189472,0.6365596055984497,0.4998054388143634,-0.010494725778698921,0.017939022219821278,3668,76.33804321289062,patches/patch_007/query.png,0.7569399476051331,0.5128896165063098,0.5628048777580261,0.5691406215226482,0.6471832394599915,0.18319302924944772,-0.016475403681397438,0.01593518477380614,1652,52.65644836425781,patches/patch_007/render.png,69.17644836425781,patches/patch_007/triplet_query_render_dom.png
True,-25.0,-3.0,2256,2768,366.9423828125,3071,True,6011,bilinear,25.100343704223633,bilinear,True,patches/patch_008/dom.png,10,253813.80771701192,3364847.9807050014,25.09935365328988,15.818899154663086,18.671764373779297,2.852865219116211,0.6875,0.24653739612188366,patches/patch_008/edge_overlay_after.png,patches/patch_008/edge_overlay_before.png,True,8,0.6855414509773254,25.179356624028344,patches/patch_008/overlay_after.png,patches/patch_008/overlay_before.png,patches/patch_008,-24.92277845587671,-2.3958744444271076,0.39710793271660805,0.6451608538627625,0.37213394008259265,0.08988726139068604,0.11024864736269413,3792,103.5784912109375,patches/patch_008/query.png,0.6880390644073486,0.37064004740033296,0.6855416893959045,0.6688999450358929,0.6390720009803772,0.12735368088192775,0.08898669481277466,0.12106017488949032,361,63.68252944946289,patches/patch_008/render.png,67.29252944946289,patches/patch_008/triplet_query_render_dom.png
True,-34.0,-12.0,1744,2768,369.9326171875,3385,True,5825,bilinear,21.866741180419922,bilinear,True,patches/patch_009/dom.png,10,253857.81992232703,3364874.123290357,21.86642318714314,11.750092506408691,16.077556610107422,4.3274641036987305,1.0100603621730382,0.13260530421216848,patches/patch_009/edge_overlay_after.png,patches/patch_009/edge_overlay_before.png,True,9,0.6824522614479065,36.05551275463989,patches/patch_009/overlay_after.png,patches/patch_009/overlay_before.png,patches/patch_009,-32.92561009639974,-12.41037093716119,0.40542180847842246,0.6454864144325256,0.41578835538183734,-0.0915336161851883,-0.054191087915604626,1921,79.27971649169922,patches/patch_009/query.png,0.7020905017852783,0.4485167064993266,0.6824520826339722,0.6815099221451787,0.6153396368026733,0.14567358438625191,-0.10210298001766205,-0.05878191836338474,641,60.2459602355957,patches/patch_009/render.png,66.6559602355957,patches/patch_009/triplet_query_render_dom.png
