iteration,center_east_m,center_north_m,center_yaw_deg,step_xy,step_yaw,best_candidate,best_objective,best_chamfer,best_overlap,moved,num_evaluations
0,0.0,0.0,-0.5,2.0,0.5,ez0_nz0_ym0p5,1.9606606103120865,2.8783774375915527,0.9177168272794662,True,7
1,-2.0,0.0,-0.5,2.0,0.5,em2_nz0_ym0p5,1.9545859868125266,2.869708299636841,0.9151223128243143,True,12
2,-2.0,0.0,-0.5,1.0,0.25,em2_nz0_ym0p5,1.9545859868125266,2.869708299636841,0.9151223128243143,False,16
3,-2.0,0.0,-0.75,1.0,0.25,em2_nz0_ym0p75,1.9530776504943599,2.8945157527923584,0.9414381022979985,True,22
4,-2.0,0.0,-0.75,0.5,0.125,em2_nz0_ym0p75,1.9530776504943599,2.8945157527923584,0.9414381022979985,False,26
5,-2.0,0.0,-0.75,0.25,0.0625,em2_nz0_ym0p75,1.9530776504943599,2.8945157527923584,0.9414381022979985,False,32
6,-2.0,0.0,-0.8125,0.25,0.0625,em2_nz0_ym0p812,1.9169687022979036,2.8428397178649902,0.9258710155670867,True,38
7,-2.0,0.0,-0.8125,0.125,0.03125,em2_nz0_ym0p812,1.9169687022979036,2.8428397178649902,0.9258710155670867,False,40
