convention,legacy_convention,xml_projection_rotation,is_primary_acceptance,photo_id,tiepoint_position_x,tiepoint_position_y,tiepoint_position_z,measurement_x,measurement_y,projected_x,projected_y,depth,error_px
world_to_camera_correct,R_xml,R_world_to_camera = R_xml,True,742,542464.7014751395,3363865.3167513665,23.75293079038238,4744.0,2886.0,4745.094005084955,2886.481152610616,409.922805360848,1.195138050858453
world_to_camera_correct,R_xml,R_world_to_camera = R_xml,True,214,542464.7014751395,3363865.3167513665,23.75293079038238,4362.0,1799.0,4362.577057222516,1798.6938382447777,535.1548103149161,0.6532457871415661
world_to_camera_correct,R_xml,R_world_to_camera = R_xml,True,773,542464.7014751395,3363865.3167513665,23.75293079038238,463.0,1743.0,464.3827012600823,1741.4385436731254,545.7123032473812,2.085667431631847
world_to_camera_correct,R_xml,R_world_to_camera = R_xml,True,139,542464.7014751395,3363865.3167513665,23.75293079038238,422.0,2396.0,424.1581229240778,2394.9214243694637,597.1129722585803,2.412637549698871
world_to_camera_correct,R_xml,R_world_to_camera = R_xml,True,755,542464.7014751395,3363865.3167513665,23.75293079038238,4311.0,1673.0,4313.018840605094,1672.560877168432,488.2762091564661,2.0660460425605143
world_to_camera_correct,R_xml,R_world_to_camera = R_xml,True,142,542464.7014751395,3363865.3167513665,23.75293079038238,594.0,2656.0,595.691306982068,2654.809600794459,653.1032313212243,2.068228608288818
world_to_camera_correct,R_xml,R_world_to_camera = R_xml,True,367,542464.7014751395,3363865.3167513665,23.75293079038238,3036.0,2413.0,3036.7199041632307,2413.4932746173336,601.7523106741692,0.872686571652418
world_to_camera_correct,R_xml,R_world_to_camera = R_xml,True,756,542464.7014751395,3363865.3167513665,23.75293079038238,4120.0,2069.0,4120.63051760401,2069.452711911986,544.553352009983,0.7762090724928175
world_to_camera_correct,R_xml,R_world_to_camera = R_xml,True,757,542464.7014751395,3363865.3167513665,23.75293079038238,3956.0,2394.0,3956.1914786926736,2394.574128235427,601.1092319086657,0.6052167549419948
world_to_camera_correct,R_xml,R_world_to_camera = R_xml,True,323,542464.7014751395,3363865.3167513665,23.75293079038238,2926.0,1059.0,2925.918081313331,1057.5739602079836,669.5306112144508,1.4283907587350142
