candidate,corr_dx_x,corr_dy_y,corr_norm_radius,cx_offset_px,cy_offset_px,direction_consistency,distortion_scale,focal_scale,good_matches,image_name,inlier_ratio,inliers,median_dx_px,median_dy_px,median_residual_norm_px,p90_residual_norm_px,query_image,query_keypoints,render_image,render_keypoints,scale,status,xml_photo_id
raw_query_vs_distorted_render_with_scaled_distortion,0.8131615642592539,0.7339296331614565,0.9477776633785764,30.0,0.0,0.8951511979103088,-1.0,0.995,1671,0000,0.6295631358467983,1052,22.0587158203125,29.618408203125,39.18236541748047,99.24158477783203,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9001,0.25,ok,7
undistorted_query_with_scaled_distortion_vs_pinhole_render,0.8060096627115613,0.7212652710927249,0.9514369383449304,0.0,0.0,0.8716665506362915,-1.0,1.0,1705,0000,0.6357771260997067,1084,21.3316650390625,28.40606689453125,38.24231719970703,93.43029022216797,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
raw_query_vs_distorted_render_with_scaled_distortion,0.827934606184785,0.7229948146130118,0.9474962863408011,0.0,0.0,0.8778444528579712,-1.0,1.0,1723,0000,0.6331979106210098,1091,22.10498046875,29.8880615234375,40.234344482421875,100.88316345214844,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
undistorted_query_with_scaled_distortion_vs_pinhole_render,0.8122647321521382,0.7587962347402911,0.9510874972154684,0.0,-30.0,0.8971784710884094,-1.0,1.0,1741,0000,0.6266513497989661,1091,22.544189453125,31.0438232421875,41.394100189208984,97.1928939819336,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
raw_query_vs_distorted_render_with_scaled_distortion,0.7953347284055642,0.7331410503790056,0.9466528534688385,0.0,-30.0,0.8297186493873596,-1.0,1.0,1690,0000,0.6485207100591716,1096,22.4984130859375,26.319580078125,38.47573471069336,99.87748718261719,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
undistorted_query_with_scaled_distortion_vs_pinhole_render,0.7906324120017112,0.7305698878353927,0.9521590419456031,0.0,30.0,0.8605549335479736,-1.0,1.0,1678,0000,0.635280095351609,1066,21.1324462890625,27.14013671875,37.23980712890625,91.0138168334961,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
raw_query_vs_distorted_render_with_scaled_distortion,0.6886845915489217,0.6885081480160247,0.9490607056985834,0.0,30.0,0.7666290402412415,-1.0,1.0,1700,0000,0.5823529411764706,990,19.9337158203125,19.36029052734375,33.71941375732422,75.80951690673828,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
undistorted_query_with_scaled_distortion_vs_pinhole_render,0.7682563863144436,0.7038679059154935,0.9434546012643021,-30.0,0.0,0.6920897960662842,-1.0,1.0,1717,0000,0.6790914385556203,1166,19.0294189453125,20.50189208984375,35.93410110473633,80.05398559570312,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
raw_query_vs_distorted_render_with_scaled_distortion,0.8497195769748646,0.7163533365899899,0.9446529006236851,-30.0,0.0,0.7949507832527161,-1.0,1.0,1658,0000,0.6055488540410132,1004,21.4376220703125,24.38702392578125,36.43385696411133,94.95535278320312,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
undistorted_query_with_scaled_distortion_vs_pinhole_render,0.8119446276563728,0.7341020022100864,0.9481510954317711,30.0,0.0,0.9046528339385986,-1.0,1.0,1717,0000,0.6150262085032032,1056,22.23779296875,29.4609375,38.654014587402344,93.89193725585938,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
raw_query_vs_distorted_render_with_scaled_distortion,0.8196109283163782,0.7468625649347203,0.9466971081037409,30.0,0.0,0.9028360247612,-1.0,1.0,1708,0000,0.6135831381733021,1048,22.084228515625,30.7294921875,39.96989440917969,101.43746948242188,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
undistorted_query_with_scaled_distortion_vs_pinhole_render,0.6898417777179475,0.7304367294810769,0.9458057083910095,0.0,0.0,0.7421329021453857,-1.0,1.005,1728,0000,0.6666666666666666,1152,18.98876953125,21.661865234375,34.874107360839844,77.6045913696289,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
raw_query_vs_distorted_render_with_scaled_distortion,0.8332385475947427,0.7556290267445656,0.9467927544588478,0.0,0.0,0.9046595692634583,-1.0,1.005,1705,0000,0.6146627565982404,1048,24.8521728515625,30.95538330078125,41.70336151123047,102.79778289794922,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
undistorted_query_with_scaled_distortion_vs_pinhole_render,0.8020608060886024,0.7516664740011358,0.9510620842850386,0.0,-30.0,0.8931674957275391,-1.0,1.005,1733,0000,0.61800346220427,1071,22.361328125,30.1785888671875,39.810264587402344,94.17996978759766,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
raw_query_vs_distorted_render_with_scaled_distortion,0.6036469171985375,0.6376203589582875,0.9364677520353559,0.0,-30.0,0.4536520540714264,-1.0,1.005,1719,0000,0.5445026178010471,936,12.746826171875,13.78790283203125,31.726089477539062,53.014381408691406,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
undistorted_query_with_scaled_distortion_vs_pinhole_render,0.7965744425417776,0.7419231468015428,0.9519321334392896,0.0,30.0,0.8806551098823547,-1.0,1.005,1679,0000,0.6402620607504467,1075,22.299072265625,28.4871826171875,38.332523345947266,93.60989379882812,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
raw_query_vs_distorted_render_with_scaled_distortion,0.8075604716943405,0.7092473820970893,0.949183105854558,0.0,30.0,0.8175551295280457,-1.0,1.005,1675,0000,0.6782089552238806,1136,21.9820556640625,26.48187255859375,37.96006393432617,95.99819946289062,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
undistorted_query_with_scaled_distortion_vs_pinhole_render,0.6874103381944285,0.7326519784347725,0.9467929508385367,-30.0,0.0,0.7663177847862244,-1.0,1.005,1697,0000,0.6593989393046553,1119,19.568359375,21.271240234375,33.977638244628906,77.41509246826172,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
raw_query_vs_distorted_render_with_scaled_distortion,0.714454348697651,0.6596648544113667,0.9458456455257551,-30.0,0.0,0.721825897693634,-1.0,1.005,1711,0000,0.6288720046756283,1076,19.5062255859375,19.482177734375,34.20930480957031,77.24100494384766,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
undistorted_query_with_scaled_distortion_vs_pinhole_render,0.793141940901195,0.6754857013024124,0.9470508697159498,30.0,0.0,0.7837063074111938,-1.0,1.005,1689,0000,0.655417406749556,1107,18.014892578125,24.2113037109375,35.106143951416016,83.27570343017578,data_caiwangcun/query/images/exif_test/0000.jpg,9001,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
raw_query_vs_distorted_render_with_scaled_distortion,0.8244662687067336,0.7130419627896002,0.9477786811405127,30.0,0.0,0.8760475516319275,-1.0,1.005,1688,0000,0.6232227488151659,1052,20.1072998046875,29.58416748046875,38.394596099853516,97.6187515258789,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
undistorted_query_with_scaled_distortion_vs_pinhole_render,0.5916928570187759,0.5950134669759533,0.9588282703763422,0.0,0.0,0.6328052282333374,-0.5,0.995,1750,0000,0.6434285714285715,1126,16.1646728515625,18.5224609375,33.53348159790039,62.29185485839844,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
raw_query_vs_distorted_render_with_scaled_distortion,0.6355586183248365,0.6771120508407141,0.9545469148927143,0.0,0.0,0.6997460722923279,-0.5,0.995,1741,0000,0.7110855829982768,1238,17.60693359375,22.96807861328125,34.94109344482422,74.77518463134766,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
undistorted_query_with_scaled_distortion_vs_pinhole_render,0.6064954998228221,0.7650377658265018,0.9434459234183094,0.0,-30.0,0.803276538848877,-0.5,0.995,1732,0000,0.6472286374133949,1121,21.078125,21.572998046875,34.637657165527344,75.80086517333984,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
raw_query_vs_distorted_render_with_scaled_distortion,0.7408053983672157,0.7065833151272883,0.9588667167736429,0.0,-30.0,0.8848670721054077,-0.5,0.995,1758,0000,0.6353811149032992,1117,17.82275390625,31.238525390625,38.03654479980469,84.4934310913086,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
undistorted_query_with_scaled_distortion_vs_pinhole_render,0.7399616218068016,0.6293619841956395,0.9566863767729598,0.0,30.0,0.7601638436317444,-0.5,0.995,1746,0000,0.7010309278350515,1224,16.6226806640625,26.90838623046875,35.660560607910156,77.26988983154297,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
raw_query_vs_distorted_render_with_scaled_distortion,0.7303037847432559,0.6693286068695798,0.9606069571910851,0.0,30.0,0.849734902381897,-0.5,0.995,1786,0000,0.6472564389697648,1156,17.304443359375,29.92388916015625,36.78242874145508,82.0106201171875,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
undistorted_query_with_scaled_distortion_vs_pinhole_render,0.5555728837539887,0.7044246324492902,0.955288270868922,-30.0,0.0,0.698133111000061,-0.5,0.995,1705,0000,0.6780058651026393,1156,18.4232177734375,19.9791259765625,33.65184783935547,68.76715850830078,data_caiwangcun/query/images/exif_test/0000.jpg,9001,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
raw_query_vs_distorted_render_with_scaled_distortion,0.6694560954428923,0.710794664081276,0.9586262353163133,-30.0,0.0,0.8233809471130371,-0.5,0.995,1753,0000,0.6600114090131204,1157,18.02734375,28.2921142578125,35.06452941894531,79.95181274414062,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
undistorted_query_with_scaled_distortion_vs_pinhole_render,0.7451802407249686,0.6839204523256903,0.961485911611935,30.0,0.0,0.8823175430297852,-0.5,0.995,1713,0000,0.6281377699941623,1076,17.136962890625,31.12030029296875,38.20586395263672,81.30855560302734,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
raw_query_vs_distorted_render_with_scaled_distortion,0.6491037050109162,0.6811625310470016,0.9518567321363487,30.0,0.0,0.6943702697753906,-0.5,0.995,1789,0000,0.7266629401900503,1300,16.9854736328125,23.21319580078125,35.4957275390625,76.743408203125,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
undistorted_query_with_scaled_distortion_vs_pinhole_render,0.6573984945053879,0.6652669289936588,0.9533838624256971,0.0,0.0,0.6848410367965698,-0.5,1.0,1719,0000,0.7230948225712623,1243,16.62548828125,23.423095703125,35.57769012451172,72.75004577636719,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
raw_query_vs_distorted_render_with_scaled_distortion,0.7310703795421944,0.7040844497588403,0.9582275473519813,0.0,0.0,0.878771960735321,-0.5,1.0,1755,0000,0.6387464387464388,1121,17.87939453125,30.813232421875,37.98554992675781,84.57815551757812,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
undistorted_query_with_scaled_distortion_vs_pinhole_render,0.698442564117939,0.6891296904078347,0.9525472512742709,0.0,-30.0,0.7510509490966797,-0.5,1.0,1756,0000,0.714123006833713,1254,17.791748046875,26.658203125,36.15184783935547,77.81401824951172,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
raw_query_vs_distorted_render_with_scaled_distortion,0.6565629245588002,0.6631840376441215,0.9558739644771096,0.0,-30.0,0.7620896697044373,-0.5,1.0,1753,0000,0.6862521391899601,1203,17.44189453125,25.49609375,34.22617721557617,76.0221176147461,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9001,0.25,ok,7
undistorted_query_with_scaled_distortion_vs_pinhole_render,0.7081877537804359,0.6343707076623554,0.9578309434858794,0.0,30.0,0.761448860168457,-0.5,1.0,1749,0000,0.6986849628359062,1222,17.310302734375,26.63958740234375,35.34623718261719,75.28419494628906,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
raw_query_vs_distorted_render_with_scaled_distortion,0.7081307405072202,0.6360713044196699,0.9556767497833388,0.0,30.0,0.6894634366035461,-0.5,1.0,1781,0000,0.7158899494665918,1275,16.44091796875,24.7125244140625,35.48476028442383,76.69017028808594,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
undistorted_query_with_scaled_distortion_vs_pinhole_render,0.6855957446837517,0.6940212567412064,0.949864511061304,-30.0,0.0,0.6832179427146912,-0.5,1.0,1707,0000,0.6994727592267135,1194,17.53985595703125,21.57305908203125,35.48017501831055,75.60529327392578,data_caiwangcun/query/images/exif_test/0000.jpg,9001,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
raw_query_vs_distorted_render_with_scaled_distortion,0.7802543810685496,0.6584845605548991,0.9512528986225081,-30.0,0.0,0.7572364211082458,-0.5,1.0,1771,0000,0.6583850931677019,1166,18.02294921875,26.95703125,36.0615119934082,83.64151763916016,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
undistorted_query_with_scaled_distortion_vs_pinhole_render,0.6609104363649089,0.7066582580385548,0.9586153646254706,30.0,0.0,0.8249562382698059,-0.5,1.0,1729,0000,0.6639676113360324,1148,17.3211669921875,28.328857421875,35.38153839111328,78.62495422363281,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
raw_query_vs_distorted_render_with_scaled_distortion,0.7791127385078394,0.6859099049077741,0.9453907613459993,30.0,0.0,0.8996047973632812,-0.5,1.0,1758,0000,0.6353811149032992,1117,18.631591796875,32.07275390625,40.160858154296875,88.89466857910156,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
undistorted_query_with_scaled_distortion_vs_pinhole_render,0.7782801594911746,0.7100362746798256,0.9513225571356785,0.0,0.0,0.9084111452102661,-0.5,1.005,1740,0000,0.621264367816092,1081,19.188720703125,33.193359375,42.28797912597656,85.35205841064453,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
raw_query_vs_distorted_render_with_scaled_distortion,0.6196794987387859,0.7406879313154138,0.9540483288249728,0.0,0.0,0.7768661975860596,-0.5,1.005,1769,0000,0.7043527416619559,1246,17.757080078125,27.547607421875,35.05204772949219,80.668212890625,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
undistorted_query_with_scaled_distortion_vs_pinhole_render,0.6656168673448754,0.6947093500640281,0.952490969501186,0.0,-30.0,0.7127242088317871,-0.5,1.005,1742,0000,0.7617680826636051,1327,18.24462890625,24.9404296875,36.848812103271484,78.8685531616211,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
raw_query_vs_distorted_render_with_scaled_distortion,0.6258604089986575,0.6994768585551812,0.9541903002249718,0.0,-30.0,0.8034457564353943,-0.5,1.005,1754,0000,0.6533637400228051,1146,18.8453369140625,25.38519287109375,34.378292083740234,75.99874877929688,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9001,0.25,ok,7
undistorted_query_with_scaled_distortion_vs_pinhole_render,0.6402862722051771,0.7004850354301194,0.9562607686804416,0.0,30.0,0.7658015489578247,-0.5,1.005,1727,0000,0.7133757961783439,1232,17.82666015625,26.07421875,34.9560661315918,75.02833557128906,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
raw_query_vs_distorted_render_with_scaled_distortion,0.6362453482567106,0.7232989181147028,0.9566994741708658,0.0,30.0,0.785144567489624,-0.5,1.005,1786,0000,0.700447928331467,1251,18.1708984375,27.382568359375,35.798702239990234,80.7666015625,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
undistorted_query_with_scaled_distortion_vs_pinhole_render,0.6294264143439263,0.7210029721529126,0.9546556802483946,-30.0,0.0,0.7667766213417053,-0.5,1.005,1709,0000,0.7197191339964891,1230,18.3155517578125,25.907958984375,34.969181060791016,77.50640869140625,data_caiwangcun/query/images/exif_test/0000.jpg,9001,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
raw_query_vs_distorted_render_with_scaled_distortion,0.7182402983319082,0.6873725697610875,0.9506021080355775,-30.0,0.0,0.692890465259552,-0.5,1.005,1785,0000,0.6829131652661065,1219,17.815185546875,24.1395263671875,36.15190124511719,77.71980285644531,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
undistorted_query_with_scaled_distortion_vs_pinhole_render,0.5997928448259356,0.6671484215463271,0.9556385428926144,30.0,0.0,0.7013559937477112,-0.5,1.005,1724,0000,0.691415313225058,1192,17.61376953125,21.36981201171875,34.92474365234375,68.74580383300781,data_caiwangcun/query/images/exif_test/0000.jpg,9000,docs/experiments/dom_dsm_prepare/query_dom_patch_alignment_batch/images/000_0000/gpu_pinhole_render.png,9000,0.25,ok,7
