image,candidate,offset_east_m,offset_north_m,offset_alt_m,yaw_offset_deg,edge_chamfer,edge_overlap_ratio,objective,passes_strict_visual_gate,selected_by_visual_objective,safe_output_worse_than_initial,valid_depth_ratio,query_edge_count,render_edge_count
0000.jpg,em6_nz0_yp0p25,-6.0,0.0,0.0,0.25,10.032938957214355,0.6155555555555555,9.4173834016588,False,False,True,0.9998372395833334,734,450
0000.jpg,em6_nz0_ym0p25,-6.0,0.0,0.0,-0.25,7.910813331604004,0.7418604651162791,7.168952866487725,True,False,False,0.9998372395833334,734,430
0000.jpg,em5_np1_yz0,-5.0,1.0,0.0,0.0,7.948395729064941,0.684331797235023,7.264063931829918,True,False,False,0.9998643663194444,734,434
0000.jpg,em7_np1_yz0,-7.0,1.0,0.0,0.0,8.165066719055176,0.7080610021786492,7.457005716876527,True,False,False,0.9998101128472222,734,459
0000.jpg,em6_np1_yp0p25,-6.0,1.0,0.0,0.25,7.634139060974121,0.7534562211981567,6.8806828397759645,True,False,False,0.9998101128472222,734,434
0000.jpg,em6_np1_ym0p25,-6.0,1.0,0.0,-0.25,7.901755332946777,0.6916299559471366,7.210125376999641,True,False,False,0.9998101128472222,734,454
0001.JPG,initial,0.0,0.0,0.0,0.0,4.17815637588501,0.6847222222222222,3.4934341536627875,True,False,False,1.0,1475,1440
0001.JPG,ep2_nz0_yz0,2.0,0.0,0.0,0.0,4.46837043762207,0.6170212765957447,3.8513491610263255,False,False,True,1.0,1475,1457
0001.JPG,em2_nz0_yz0,-2.0,0.0,0.0,0.0,4.248150825500488,0.6940572267057961,3.554093598794692,False,False,True,1.0,1475,1363
0001.JPG,ez0_np2_yz0,0.0,2.0,0.0,0.0,4.167277812957764,0.6832167832167833,3.4840610297409804,False,False,True,1.0,1475,1430
0001.JPG,ez0_nm2_yz0,0.0,-2.0,0.0,0.0,4.2384443283081055,0.6606271777003484,3.577817150607757,False,False,True,1.0,1475,1435
0001.JPG,ez0_nz0_yp0p5,0.0,0.0,0.0,0.5,4.235442638397217,0.6654904728299224,3.5699521655672943,False,False,True,1.0,1475,1417
0001.JPG,ez0_nz0_ym0p5,0.0,0.0,0.0,-0.5,4.358450889587402,0.6686390532544378,3.6898118363329644,False,False,True,1.0,1475,1352
0001.JPG,ep1_nz0_yz0,1.0,0.0,0.0,0.0,4.257626056671143,0.6403568977350721,3.6172691589360704,False,False,True,1.0,1475,1457
0001.JPG,em1_nz0_yz0,-1.0,0.0,0.0,0.0,4.230487823486328,0.6512749827705031,3.579212840715825,False,False,True,1.0,1475,1451
0001.JPG,ez0_np1_yz0,0.0,1.0,0.0,0.0,4.38344144821167,0.6414825374198146,3.741958910791855,False,False,True,1.0,1475,1403
0001.JPG,ez0_nm1_yz0,0.0,-1.0,0.0,0.0,4.326195240020752,0.6703146374829001,3.655880602537852,False,False,True,1.0,1475,1462
0001.JPG,ez0_nz0_yp0p25,0.0,0.0,0.0,0.25,4.110897541046143,0.6257627118644068,3.4851348291817357,False,False,True,1.0,1475,1500
