image,initial_chamfer,initial_overlap,selected_candidate,selected_chamfer,selected_overlap,selected_offset_east_m,selected_offset_north_m,selected_yaw_offset_deg,chamfer_improvement,overlap_improvement,safe_output_worse_than_initial,num_evaluations,stop_reason
0000.jpg,9.630294799804688,0.5285714285714286,em6_np1_yz0,7.34524393081665,0.7695749440715883,-6.0,1.0,0.0,2.285050868988037,0.24100351550015975,False,40,max_evals
0001.JPG,4.17815637588501,0.6847222222222222,ez0_nz0_ym0p25,4.070367813110352,0.711864406779661,0.0,0.0,-0.25,0.1077885627746582,0.027142184557438775,False,29,min_step
0002.JPG,4.727849006652832,0.4724550898203593,em1_nm0p5_ym0p25,4.485838890075684,0.5029976019184652,-1.0,-0.5,-0.25,0.24201011657714844,0.030542512098105934,False,37,min_step
0003.JPG,4.390451431274414,0.6980365605958023,ep4_np0p5_yz0,3.906494617462158,0.7582938388625592,4.0,0.5,0.0,0.48395681381225586,0.060257278266756864,False,39,min_step
0004.JPG,2.9588804244995117,0.8932542624166049,em2_nz0_ym0p812,2.8428397178649902,0.9258710155670867,-2.0,0.0,-0.8125,0.11604070663452148,0.03261675315048185,False,40,max_evals
