image,candidate,stage,source,offset_east_m,offset_north_m,offset_alt_m,yaw_offset_deg,edge_chamfer,edge_overlap_ratio,unweighted_feature_loss,weighted_feature_loss_uniform,weighted_feature_loss_dom_edge,weighted_feature_loss_depth_gradient,weighted_feature_loss_combined,weighted_feature_loss_low_texture_downweight,passes_strict_visual_gate,selected_by_visual,selected_by_unweighted_feature,selected_by_weighted_uniform,selected_by_weighted_dom_edge,selected_by_weighted_depth_gradient,selected_by_weighted_combined,selected_by_weighted_low_texture_downweight,valid_depth_ratio,query_edge_count,render_edge_count
0000.jpg,initial,initial,initial,0.0,0.0,0.0,0.0,9.630294799804688,0.5285714285714286,0.23782937228679657,0.23782938718795776,0.2389969825744629,0.24350962042808533,0.24144689738750458,0.23988330364227295,True,False,False,False,False,False,False,False,1.0,734,490
0000.jpg,east_minus_1m,one_step,local_grid,-1.0,0.0,0.0,0.0,9.702973365783691,0.61875,0.23952242732048035,0.23952244222164154,0.2405005693435669,0.24538037180900574,0.24308884143829346,0.2418210804462433,False,False,False,False,False,False,False,False,0.9999728732638888,734,480
0000.jpg,east_plus_1m,one_step,local_grid,1.0,0.0,0.0,0.0,9.367851257324219,0.5247058823529411,0.23923993110656738,0.23923997581005096,0.2406650185585022,0.24491775035858154,0.2430613934993744,0.24111716449260712,False,False,False,False,False,False,False,False,1.0,734,425
0000.jpg,north_minus_1m,one_step,local_grid,0.0,-1.0,0.0,0.0,9.560669898986816,0.5698689956331878,0.2379390448331833,0.2379390448331833,0.23901371657848358,0.24374496936798096,0.24152348935604095,0.23981688916683197,True,False,False,False,False,False,False,False,1.0,734,458
0000.jpg,north_plus_1m,one_step,local_grid,0.0,1.0,0.0,0.0,9.894988059997559,0.565410199556541,0.2428925335407257,0.2428925484418869,0.24420234560966492,0.24830472469329834,0.24652688205242157,0.24539834260940552,False,False,False,False,False,False,False,False,0.9999728732638888,734,451
0000.jpg,yaw_minus_1deg,one_step,local_grid,0.0,0.0,0.0,-1.0,9.350302696228027,0.7122969837587007,0.2399282455444336,0.2399282455444336,0.24156537652015686,0.24620145559310913,0.2439012974500656,0.2419290989637375,True,False,False,False,False,False,False,False,1.0,734,431
0000.jpg,yaw_plus_1deg,one_step,local_grid,0.0,0.0,0.0,1.0,10.040475845336914,0.3895131086142322,0.24011102318763733,0.24011102318763733,0.2405962198972702,0.24513331055641174,0.24319231510162354,0.24223081767559052,False,False,False,False,False,False,False,False,1.0,734,534
0000.jpg,alt_minus_1m,one_step,local_grid,0.0,0.0,-1.0,0.0,9.730813980102539,0.5305343511450382,0.23663488030433655,0.23663489520549774,0.23780040442943573,0.2424508035182953,0.24034029245376587,0.23865488171577454,False,False,False,False,False,False,False,False,1.0,734,524
0000.jpg,alt_plus_1m,one_step,local_grid,0.0,0.0,1.0,0.0,9.739657402038574,0.5452631578947369,0.23985782265663147,0.23985779285430908,0.2411961555480957,0.24549143016338348,0.2435750961303711,0.24200300872325897,False,False,False,False,False,False,False,False,0.9999728732638888,734,475
0000.jpg,coarse_em5_nm5,coarse_translation,local_grid,-5.0,-5.0,0.0,0.0,9.441826820373535,0.7146067415730337,0.24671678245067596,0.24671678245067596,0.24673888087272644,0.2525739073753357,0.24973838031291962,0.24795672297477722,True,False,False,False,False,False,False,False,0.9999186197916666,734,445
