dom_pixel_offset_col,dom_pixel_offset_row,hit,hit_depth,hit_depth_vs_projection_depth_m,hit_dom_col,hit_dom_patch_rel,hit_dom_row,hit_dsm_height,hit_dsm_minus_tiepoint_dsm_m,hit_dsm_vs_tiepoint_dsm_error_m,hit_raster_x,hit_raster_y,hit_xy_error_m,hit_z_ray,hit_z_vs_tiepoint_error_m,index,legacy_rotation_convention,measurement_x,measurement_y,offset_angle_deg,offset_east_m,offset_norm_m,offset_north_m,photo_id,projected_x,projected_y,projection_depth,query_image,query_patch_rel,query_vs_tiepoint_dom_mad,ray_rotation_matrix_source,render_ray_convention,render_ray_rotation,reprojection_error_px,rotation_convention,tiepoint_dom_col,tiepoint_dom_patch_rel,tiepoint_dom_row,tiepoint_dom_vs_hit_dom_mad,tiepoint_dsm_height,tiepoint_dsm_minus_xml_z_m,tiepoint_index,tiepoint_raster_x,tiepoint_raster_y,tiepoint_xml_x,tiepoint_xml_y,tiepoint_xml_z,xml_projection_rotation
20,36,True,362.9873046875,0.5131651913869746,1034,patches/0000/hit_dom_0035.png,5985,29.677955627441406,0.8512763977050781,0.8512763977050781,253528.6062332744,3364851.6617470593,5.757271291696733,29.67919743905992,0.5102517153217718,35,R_xml_transpose,4763.0,2137.0,-60.91230971792874,2.7988838715245947,5.757271291696733,-5.031145177781582,7,4764.66063938787,2136.863641937311,363.500469878887,0000.jpg,patches/0000/query_0035.png,30.697032928466797,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,1.6662282850215573,R_xml_transpose,1014,patches/0000/tiepoint_dom_0035.png,5949,27.396631240844727,28.826679229736328,-0.3422664940018194,2992,253525.80734940286,3364856.692892237,541786.5473355406,3363489.843961681,29.168945723738148,R_world_to_camera = R_xml
29,-16,True,367.9541015625,0.13118796561082036,2983,patches/0000/hit_dom_0036.png,6469,22.52712059020996,-0.0826263427734375,0.0826263427734375,253801.55254996382,3364783.8491582447,4.659335922959117,22.527100751854277,0.13210224255436742,36,R_xml_transpose,2747.0,228.0,28.405837345171356,4.09835239633685,4.659335922959117,2.2165105184540153,7,2747.4535992685023,226.3880076526466,368.0852895281108,0000.jpg,patches/0000/query_0036.png,50.35791015625,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,1.674595958526055,R_xml_transpose,2954,patches/0000/tiepoint_dom_0036.png,6485,37.274845123291016,22.6097469329834,0.21474842368348845,3312,253797.45419756748,3364781.632647726,542059.9982270345,3363422.0299518,22.39499850929991,R_world_to_camera = R_xml
-5,-27,True,375.8115234375,0.21208075020484785,3451,patches/0000/hit_dom_0037.png,5183,14.462791442871094,-0.10937881469726562,0.10937881469726562,253867.09399943787,3364963.977888892,3.909293328397806,14.462032252591428,0.2127616899470013,37,R_xml_transpose,1325.0,1464.0,99.85086878467915,-0.6688187300751451,3.909293328397806,3.851656245533377,7,1325.7788126199455,1462.926963679443,376.02360418770485,0000.jpg,patches/0000/query_0037.png,15.973899841308594,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,1.3258793467812426,R_xml_transpose,3456,patches/0000/tiepoint_dom_0037.png,5210,8.920798301696777,14.57217025756836,0.3228996949239331,3477,253867.76281816795,3364960.1262326464,542125.5312802206,3363602.2651096852,14.249270562644426,R_world_to_camera = R_xml
-12,26,True,367.1240234375,0.08262158542504494,1437,patches/0000/hit_dom_0038.png,4908,25.35675811767578,-0.06694793701171875,0.06694793701171875,253585.03976017924,3365002.4187948615,4.014403923298566,25.356755405376816,0.0819329006674252,38,R_xml_transpose,3554.0,3169.0,-115.054922579113,-1.7000472151557915,4.014403923298566,-3.6366575760766864,7,3554.172128079094,3168.0191248300507,367.04140185207496,0000.jpg,patches/0000/query_0038.png,33.2380256652832,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.995863532134599,R_xml_transpose,1449,patches/0000/tiepoint_dom_0038.png,4882,21.18494415283203,25.4237060546875,-0.014982251356741472,3508,253586.7398073944,3365006.0554524376,541843.4820262318,3363640.719175982,25.43868830604424,R_world_to_camera = R_xml
-15,-41,True,368.7958984375,1.1326739285145209,4041,patches/0000/hit_dom_0039.png,4939,20.90561866760254,0.4555778503417969,0.4555778503417969,253949.68654520463,3364998.135866704,6.13887275649453,20.904982363551255,1.1367538344003378,39,R_xml_transpose,483.0,1364.0,109.82831717362782,-2.082323370501399,6.13887275649453,5.774918882641941,7,483.9812249067518,1364.3866819111108,369.9285723660145,0000.jpg,patches/0000/query_0039.png,44.07796096801758,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,1.0546682976226955,R_xml_transpose,4056,patches/0000/tiepoint_dom_0039.png,4980,37.81665802001953,20.450040817260742,0.6818122881098247,3761,253951.76886857513,3364992.3609478213,542208.6266623612,3363636.7032707874,19.768228529150917,R_world_to_camera = R_xml
6,2,True,367.2236328125,0.9765660595261352,2402,patches/0000/hit_dom_0040.png,5581,24.077350616455078,-1.009328842163086,1.009328842163086,253720.174111479,3364908.2500864076,0.8637319885054097,24.0773958286926,0.9764735537590354,40,R_xml_transpose,2847.0,1686.0,-13.894926273327005,0.8384572477662005,0.8637319885054097,-0.20741839753463864,7,2847.1639633065092,1685.5492088186231,366.24706675297386,0000.jpg,patches/0000/query_0040.png,29.402299880981445,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.47968391164244345,R_xml_transpose,2396,patches/0000/tiepoint_dom_0040.png,5579,21.92264175415039,25.086679458618164,0.03281007616652687,3764,253719.33565423122,3364908.457504805,541978.573236342,3363546.6997115174,25.053869382451637,R_world_to_camera = R_xml
-3,0,True,365.8603515625,0.3214535706338779,2470,patches/0000/hit_dom_0041.png,5234,25.445329666137695,-0.025465011596679688,0.025465011596679688,253729.7585984153,3364956.8146676044,0.40294959399188746,25.44628925902964,0.3210659909693163,41,R_xml_transpose,2520.0,2067.0,-174.29524377299495,-0.40095391432987526,0.40294959399188746,-0.040054136887192726,7,2519.6871473342144,2068.137001969036,366.1818051331339,0000.jpg,patches/0000/query_0041.png,25.768564224243164,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,1.1792583551034697,R_xml_transpose,2473,patches/0000/tiepoint_dom_0041.png,5234,11.141818046569824,25.470794677734375,0.34557140967405076,3793,253730.15955232963,3364956.8547217413,541988.107821721,3363595.350852525,25.125223268060324,R_world_to_camera = R_xml
1,20,True,367.9521484375,0.3832723302343197,1690,patches/0000/hit_dom_0042.png,5362,24.15606689453125,0.04067039489746094,0.04067039489746094,253620.43882381023,3364938.9388818205,2.8069606934026083,24.156864902850543,0.38238049628176896,42,R_xml_transpose,3565.0,2449.0,-86.5290013957609,0.16994268019334413,2.8069606934026083,-2.801811524666846,7,3565.144507359215,2448.963460466176,368.3354207677343,0000.jpg,patches/0000/query_0042.png,19.07998275756836,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.14905540714560792,R_xml_transpose,1689,patches/0000/tiepoint_dom_0042.png,5342,16.566091537475586,24.11539649963379,0.3409120930650147,3871,253620.26888113003,3364941.740693345,541878.6919886336,3363577.336194341,23.774484406568774,R_world_to_camera = R_xml
0,13,True,363.8369140625,1.1384970219791057,1967,patches/0000/hit_dom_0043.png,5279,27.996049880981445,2.238250732421875,2.238250732421875,253659.2932966687,3364950.516642884,1.886247242416299,27.99546150387755,1.1365631126847688,43,R_xml_transpose,3177.0,2365.0,-90.68601212664667,-0.022583819896681234,1.886247242416299,-1.8861120408400893,7,3176.8972056457974,2365.745792644139,364.9754110844791,0000.jpg,patches/0000/query_0043.png,26.81451416015625,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.7528435078471389,R_xml_transpose,1967,patches/0000/tiepoint_dom_0043.png,5266,16.525188446044922,25.75779914855957,-1.101099242633211,4092,253659.3158804886,3364952.4027549247,541917.4300864335,3363589.0253344043,26.85889839119278,R_world_to_camera = R_xml
9,-1,True,366.9111328125,0.039294141914012926,2465,patches/0000/hit_dom_0044.png,5677,24.301488876342773,-0.4004783630371094,0.4004783630371094,253728.95374245613,3364894.727626133,1.237843746995524,24.301295874261655,0.03929877691001593,44,R_xml_transpose,2837.0,1523.0,4.929789326477026,1.2332646552531514,1.237843746995524,0.10637401975691319,7,2837.315562556464,1522.6307551505656,366.871838670586,0000.jpg,patches/0000/query_0044.png,27.755563735961914,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.4857174959541582,R_xml_transpose,2456,patches/0000/tiepoint_dom_0044.png,5678,22.55116844177246,24.701967239379883,0.36137258820821216,4132,253727.72047780087,3364894.621252113,541987.3188809964,3363533.0949336546,24.34059465117167,R_world_to_camera = R_xml
