hit,hit_depth,hit_depth_vs_projection_depth_m,hit_dom_col,hit_dom_patch_rel,hit_dom_row,hit_dsm_height,hit_dsm_vs_tiepoint_dsm_error_m,hit_raster_x,hit_raster_y,hit_xy_error_m,hit_z_ray,hit_z_vs_tiepoint_error_m,index,legacy_rotation_convention,measurement_x,measurement_y,photo_id,projected_x,projected_y,projection_depth,query_image,query_patch_rel,query_vs_tiepoint_dom_mad,ray_rotation_matrix_source,render_ray_convention,render_ray_rotation,reprojection_error_px,rotation_convention,tiepoint_dom_col,tiepoint_dom_patch_rel,tiepoint_dom_row,tiepoint_dom_vs_hit_dom_mad,tiepoint_dsm_height,tiepoint_index,tiepoint_raster_x,tiepoint_raster_y,tiepoint_xml_x,tiepoint_xml_y,tiepoint_xml_z,xml_projection_rotation
True,366.6533203125,1.5876367633412656,1512,patches/0000/hit_dom_0000.png,4862,25.75900650024414,1.1539535522460938,253595.5012707998,3365008.8545187335,4.004163831403807,25.758315831453103,1.5820575452120806,0,R_xml_transpose,3434.0,3177.0,7,3433.1145980235024,3176.417661469307,365.06568354915873,0000.jpg,patches/0000/query_0000.png,32.04133987426758,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,1.0597428104571673,R_xml_transpose,1529,patches/0000/tiepoint_dom_0000.png,4840,33.240631103515625,26.912960052490234,115,253597.9743928643,3365012.0036448413,541854.5514269767,3363646.9609285328,27.340373376665184,R_world_to_camera = R_xml
True,363.3212890625,0.9986469444440331,2933,patches/0000/hit_dom_0001.png,5911,27.339662551879883,1.0942420959472656,253794.5707108223,3364862.029352015,2.7738674780905077,27.339445242729425,1.0003384253670333,1,R_xml_transpose,2421.0,905.0,7,2421.02593635931,904.7544882710672,362.32264211805597,0000.jpg,patches/0000/query_0001.png,35.38840103149414,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.24687791269740544,R_xml_transpose,2917,patches/0000/tiepoint_dom_0001.png,5922,30.605443954467773,28.43390464782715,160,253792.30759863567,3364860.425399392,542052.7680547398,3363500.6330430955,28.33978366809646,R_world_to_camera = R_xml
True,367.0576171875,2.7388174009118416,3296,patches/0000/hit_dom_0002.png,5772,23.24747657775879,2.871265411376953,253845.3197795585,3364881.4911069265,3.7120544671268156,23.248527037380597,2.746064002453693,2,R_xml_transpose,1887.0,841.0,7,1887.4550722961587,839.9360944360917,364.31879978658816,0000.jpg,patches/0000/query_0002.png,36.6343994140625,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,1.157145558538857,R_xml_transpose,3278,patches/0000/tiepoint_dom_0002.png,5792,30.343904495239258,26.118741989135742,166,253842.87962704376,3364878.6937860525,542102.8219585672,3363520.2286322773,25.99459103983429,R_world_to_camera = R_xml
True,372.4931640625,0.5538233399534533,3724,patches/0000/hit_dom_0003.png,4770,17.582799911499023,0.20693397521972656,253905.35115434797,3365021.736278092,5.218271794861631,17.582876265692732,0.5559640108085091,3,R_xml_transpose,736.0,1772.0,7,736.5174754506636,1771.9276154254583,371.93934072254655,0000.jpg,patches/0000/query_0003.png,26.513214111328125,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.5225135105153543,R_xml_transpose,3737,patches/0000/tiepoint_dom_0003.png,4805,21.894359588623047,17.78973388671875,167,253907.1742690884,3365016.84683915,542163.4135963058,3363659.9913309035,18.13884027650124,R_world_to_camera = R_xml
True,375.6787109375,0.13653879658187407,3468,patches/0000/hit_dom_0004.png,5489,14.508496284484863,0.08907127380371094,253869.41502013983,3364921.10348622,3.8049972389259987,14.507935674819805,0.13635462017015243,4,R_xml_transpose,1511.0,1089.0,7,1511.451583996835,1089.5781078512719,375.8152497340819,0000.jpg,patches/0000/query_0004.png,11.793214797973633,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.7335780762125592,R_xml_transpose,3464,patches/0000/tiepoint_dom_0004.png,5516,9.544220924377441,14.419425010681152,204,253868.86838018,3364917.3379598632,542127.7695038287,3363559.535065547,14.371581054649653,R_world_to_camera = R_xml
True,366.0615234375,0.6309696191779608,2580,patches/0000/hit_dom_0005.png,6023,24.949174880981445,0.14702606201171875,253745.17534801512,3364846.392540756,2.543525865919596,24.949490235148005,0.6317730222201021,5,R_xml_transpose,2934.0,1019.0,7,2933.905702748518,1018.5694857317516,366.69249305667796,0000.jpg,patches/0000/query_0005.png,66.53964233398438,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.44072044064529065,R_xml_transpose,2563,patches/0000/tiepoint_dom_0005.png,6027,24.62382698059082,24.802148818969727,214,253742.72740205677,3364845.70182778,542003.6114309955,3363484.6061533373,24.317717212927903,R_world_to_camera = R_xml
True,364.2431640625,0.16841928737807166,2248,patches/0000/hit_dom_0006.png,6188,27.084199905395508,1.2230072021484375,253698.67393315042,3364823.153533771,3.2189738153472947,27.083978671165937,0.16852754889345078,6,R_xml_transpose,3459.0,1045.0,7,3459.5437708272475,1044.6067102632594,364.0747447751219,0000.jpg,patches/0000/query_0006.png,27.17293930053711,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.6710912975079613,R_xml_transpose,2226,patches/0000/tiepoint_dom_0006.png,6183,24.039447784423828,28.307207107543945,221,253695.53951970127,3364823.886503589,541957.0333619833,3363461.55569511,27.252506220059388,R_world_to_camera = R_xml
True,365.5810546875,0.1599095162828803,2467,patches/0000/hit_dom_0007.png,5114,25.7564754486084,0.03067779541015625,253729.3037859987,3364973.604013472,0.8731742348435056,25.75617614056648,0.1599344053610139,7,R_xml_transpose,2440.0,2218.0,7,2439.754269490228,2218.344932572552,365.4211451712171,0000.jpg,patches/0000/query_0007.png,22.835582733154297,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.4235114674244551,R_xml_transpose,2473,patches/0000/tiepoint_dom_0007.png,5115,11.844891548156738,25.787153244018555,257,253730.17561016046,3364973.5554761114,541987.6814833035,3363612.040718725,25.916110545927495,R_world_to_camera = R_xml
True,362.8525390625,1.325518999382382,2158,patches/0000/hit_dom_0008.png,6118,28.585527420043945,1.3549480438232422,253686.07442289605,3364833.0480185,3.0853532959781016,28.58644212005015,1.3251228922849805,8,R_xml_transpose,3525.0,1191.0,7,3525.185045261631,1190.6906788343053,364.1780580618824,0000.jpg,patches/0000/query_0008.png,22.714082717895508,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.36044601870285586,R_xml_transpose,2137,patches/0000/tiepoint_dom_0008.png,6113,21.59779167175293,27.230579376220703,259,253683.05778280468,3364833.6955426466,541944.3002622921,3363471.0274708695,27.26131922776517,R_world_to_camera = R_xml
True,366.4365234375,1.174344771993617,1340,patches/0000/hit_dom_0009.png,6547,25.776945114135742,0.9282665252685547,253571.49940694627,3364772.9787001377,6.11771776259362,25.77658512248877,1.170960307011228,9,R_xml_transpose,4748.0,1262.0,7,4749.414489238517,1261.2416427077926,367.6108682094936,0000.jpg,patches/0000/query_0009.png,30.761262893676758,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,1.6049565690458245,R_xml_transpose,1304,patches/0000/tiepoint_dom_0009.png,6522,27.92157745361328,24.848678588867188,267,253566.43887330565,3364776.416354846,541829.2776356222,3363410.6981498185,24.60562481547754,R_world_to_camera = R_xml
