iteration,center_east_m,center_north_m,center_yaw_deg,step_xy,step_yaw,best_candidate,best_objective,best_chamfer,best_overlap,moved,num_evaluations
0,0.0,0.0,0.0,1.0,0.25,initial,3.4934341536627875,4.17815637588501,0.6847222222222222,False,7
1,0.0,0.0,-0.25,1.0,0.25,ez0_nz0_ym0p25,3.3585034063306907,4.070367813110352,0.711864406779661,True,13
2,0.0,0.0,-0.25,0.5,0.125,ez0_nz0_ym0p25,3.3585034063306907,4.070367813110352,0.711864406779661,False,17
3,0.0,0.0,-0.25,0.25,0.0625,ez0_nz0_ym0p25,3.3585034063306907,4.070367813110352,0.711864406779661,False,23
4,0.0,0.0,-0.25,0.125,0.03125,ez0_nz0_ym0p25,3.3585034063306907,4.070367813110352,0.711864406779661,False,29
