iteration,center_east_m,center_north_m,center_yaw_deg,step_xy,step_yaw,best_candidate,best_objective,best_chamfer,best_overlap,moved,num_evaluations
0,0.0,0.0,0.0,1.0,0.25,initial,4.255393916832473,4.727849006652832,0.4724550898203593,False,7
1,0.0,0.0,-0.25,1.0,0.25,ez0_nz0_ym0p25,4.078020052802294,4.589298248291016,0.5112781954887218,True,13
2,-1.0,0.0,-0.25,1.0,0.25,em1_nz0_ym0p25,4.057079917414295,4.566536903381348,0.5094569859670531,True,17
3,-1.0,0.0,-0.25,0.5,0.125,em1_nz0_ym0p25,4.057079917414295,4.566536903381348,0.5094569859670531,False,21
4,-1.0,-0.5,-0.25,0.5,0.125,em1_nm0p5_ym0p25,3.9828412881572186,4.485838890075684,0.5029976019184652,True,27
5,-1.0,-0.5,-0.25,0.25,0.0625,em1_nm0p5_ym0p25,3.9828412881572186,4.485838890075684,0.5029976019184652,False,31
6,-1.0,-0.5,-0.25,0.125,0.03125,em1_nm0p5_ym0p25,3.9828412881572186,4.485838890075684,0.5029976019184652,False,37
