convention,photo_id,xml_image_path,valid_measurement_count,mean_reprojection_error_px,median_reprojection_error_px,p90_reprojection_error_px,max_reprojection_error_px,median_error_lt_2px,median_error_gt_10px,camera_chain_interpretation
R_xml,305,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140619_0305_V.JPG,68,1.329002837892198,1.1368944459003874,2.609049824275331,4.533498507335395,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,306,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140623_0306_V.JPG,81,1.3427312773503741,1.2185086461089945,2.574426541443109,4.259152169837806,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,307,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140623_0307_V.JPG,88,1.261817266058389,1.0546212692793882,2.3964364864165963,4.811125908351797,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,308,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140624_0308_V.JPG,50,1.3280481946459515,1.2898614518635663,2.5230984488878776,3.443639964420885,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,309,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140625_0309_V.JPG,75,1.5083573034813877,1.2523450302642163,2.910552928405113,4.674185351676676,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,310,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140628_0310_V.JPG,74,1.17902751870539,1.0100013389351339,2.4271163360531656,4.03179778187999,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,311,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140629_0311_V.JPG,48,1.3223256335309792,1.035204207821442,2.7683713462316955,4.002683032783647,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,312,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140630_0312_V.JPG,87,1.4750683266235383,1.121613352041915,2.8676956934529065,4.934073289099598,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,313,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140633_0313_V.JPG,77,1.6056300782526485,1.4134636952588024,2.847439606450183,3.9907077928133075,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,314,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140634_0314_V.JPG,45,1.4575846529365695,1.23228188054611,2.4307379722421287,5.187043444677202,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,315,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140635_0315_V.JPG,91,1.535927348090294,1.192494338367577,3.051797316717513,5.284758504713961,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,316,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140638_0316_V.JPG,67,1.2976221540992414,1.0694927909342695,2.5430828803696413,3.8159852880089695,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,317,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140639_0317_V.JPG,49,1.6025278724819485,1.220296199458707,2.8667718606581247,5.2977983296995905,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,318,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140640_0318_V.JPG,46,1.3622813651303094,1.197909787479408,2.751576597662628,4.532750936930663,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,319,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140643_0319_V.JPG,74,1.427969744915371,1.231345095514805,2.591659866842077,4.761924179372982,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,320,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140644_0320_V.JPG,62,1.4893547692350713,1.262773532154612,2.6946204187129696,3.8265421877114063,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,321,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140645_0321_V.JPG,58,1.5314088009460818,1.4204100442172032,2.5600357039800894,5.307628130431912,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,322,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140648_0322_V.JPG,85,1.3905510889775772,1.1813940763880288,2.841511348505691,3.965638398415012,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,323,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140649_0323_V.JPG,74,1.5183212508910189,1.3842947176476887,2.8388221287608175,4.404053945734229,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,324,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140650_0324_V.JPG,54,1.4924537903802158,1.2430133037527211,3.021884928732974,4.379017728015301,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,325,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140653_0325_V.JPG,72,1.4320920042344496,1.1637391078441257,2.4916935415430825,4.9615779715732025,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,326,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140654_0326_V.JPG,64,1.5712926174803283,1.4757282120050101,2.71270744450969,5.12862973286708,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,327,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140655_0327_V.JPG,55,1.6142645341210962,1.4018154182389566,2.9859661781485443,5.036025904755988,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,328,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140659_0328_V.JPG,75,1.3436769742671988,1.0994668848274738,2.389263187347147,5.3290882003865185,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,329,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140659_0329_V.JPG,67,1.5461498611224285,1.368811007519945,2.882061691530231,5.487364385331553,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,330,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140700_0330_V.JPG,54,1.4834969810796441,1.2985824155071115,2.748953291403877,3.439167478070367,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,331,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140704_0331_V.JPG,62,1.2352331374871741,1.106435036349414,2.236631304893346,3.4398528808423157,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,332,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140705_0332_V.JPG,52,1.4095034243386098,1.198022073788898,2.6841677898975282,4.261577464473254,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,333,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140708_0333_V.JPG,74,1.3356964429077998,1.1011860811749337,2.848943706518115,4.302971321212381,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,334,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140709_0334_V.JPG,57,1.2647930951443243,1.0331255032569677,2.2789540860021207,4.296318382806045,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,335,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140713_0335_V.JPG,89,1.399363211717562,1.1662699656014053,2.7561444054879187,3.6842212799880847,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,336,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140714_0336_V.JPG,49,1.2825947494351024,1.017603452631604,2.5540994278371003,3.8096188503869866,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,337,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140717_0337_V.JPG,92,1.3691345647307904,1.140861408489367,2.72256583385111,4.784172016659852,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,338,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140718_0338_V.JPG,49,1.3467220902283739,1.1108044754428028,2.7077435148921296,4.1769689415987346,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,339,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140722_0339_V.JPG,106,1.449823594790642,1.1765213165603414,3.037167472530955,4.155793955532187,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,340,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140723_0340_V.JPG,53,1.309711375042455,1.0423683072678513,2.518023755017961,3.9097302143073818,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,341,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140727_0341_V.JPG,81,1.3777936166666553,1.143366482711484,2.8277217348849626,4.640104239523951,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,342,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140728_0342_V.JPG,64,1.5369303551066047,1.2647855938732704,2.985521054780111,3.8942233400759387,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,343,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140731_0343_V.JPG,58,1.6336846148006283,1.5160486147882182,2.784676264769721,4.777441890952356,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,344,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140736_0344_V.JPG,71,1.5718247149068951,1.2502583914254308,3.2795335443030607,4.685055405091727,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,345,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140741_0345_V.JPG,77,1.4212860833174268,1.2197369458071137,2.72919942858137,4.60210251584203,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,346,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140747_0346_V.JPG,97,1.3721066511534021,1.2280416376471166,2.5588147535185835,4.5256706879786375,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,347,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140752_0347_V.JPG,85,1.2097137622720873,0.9996832405851191,2.3524303082241587,4.738687310667801,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,348,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140809_0348_V.JPG,63,1.2597857933484504,1.1005978262705816,2.2092094790792096,2.9729848989474816,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,349,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140814_0349_V.JPG,84,1.3192139755400643,1.0838907411348782,2.4093559904563566,4.670120224278213,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,350,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140819_0350_V.JPG,74,1.333201341955847,1.0755689142391074,2.7299007428590394,4.434846912991482,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,351,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140825_0351_V.JPG,64,1.2984984233393488,1.1414066115932657,2.3031192329611416,3.291679176102315,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,352,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140830_0352_V.JPG,51,1.3957410083422064,1.1806619968075693,2.623109682187288,4.357434155970384,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,353,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140835_0353_V.JPG,52,1.453535673224232,1.2494099077849774,2.406704619649826,4.8935030014541265,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,354,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140841_0354_V.JPG,78,1.4685705252939485,1.297082773360922,3.045395865956369,5.011338692050431,True,False,XML camera chain is basically correct for tie point reprojection.
R_xml,355,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031140842_0355_V.JPG,37,1.2670970079998145,1.1996403495815995,2.2283020885127898,3.252564084479408,True,False,XML camera chain is basically correct for tie point reprojection.
