convention,photo_id,tiepoint_position_x,tiepoint_position_y,tiepoint_position_z,measurement_x,measurement_y,projected_x,projected_y,depth,error_px
R_xml,742,542464.7014751395,3363865.3167513665,23.75293079038238,4744.0,2886.0,4745.094005084955,2886.481152610616,409.922805360848,1.1951380508584528
R_xml,214,542464.7014751395,3363865.3167513665,23.75293079038238,4362.0,1799.0,4362.577057222516,1798.6938382447777,535.1548103149161,0.6532457871415661
R_xml,773,542464.7014751395,3363865.3167513665,23.75293079038238,463.0,1743.0,464.3827012600823,1741.4385436731254,545.7123032473812,2.085667431631847
R_xml,139,542464.7014751395,3363865.3167513665,23.75293079038238,422.0,2396.0,424.1581229240778,2394.9214243694637,597.1129722585803,2.412637549698871
R_xml,755,542464.7014751395,3363865.3167513665,23.75293079038238,4311.0,1673.0,4313.018840605094,1672.560877168432,488.2762091564661,2.0660460425605147
R_xml,142,542464.7014751395,3363865.3167513665,23.75293079038238,594.0,2656.0,595.691306982068,2654.809600794459,653.1032313212243,2.068228608288818
R_xml,367,542464.7014751395,3363865.3167513665,23.75293079038238,3036.0,2413.0,3036.7199041632307,2413.4932746173336,601.7523106741692,0.8726865716524179
R_xml,756,542464.7014751395,3363865.3167513665,23.75293079038238,4120.0,2069.0,4120.63051760401,2069.452711911986,544.553352009983,0.7762090724928173
R_xml,757,542464.7014751395,3363865.3167513665,23.75293079038238,3956.0,2394.0,3956.1914786926736,2394.574128235427,601.1092319086657,0.6052167549419949
R_xml,323,542464.7014751395,3363865.3167513665,23.75293079038238,2926.0,1059.0,2925.918081313331,1057.5739602079836,669.5306112144508,1.4283907587350144
R_xml,251,542464.7014751395,3363865.3167513665,23.75293079038238,1630.0,2283.0,1630.8993667738928,2282.403003301616,573.8579012836209,1.0794747110810916
R_xml,716,542464.7014751395,3363865.3167513665,23.75293079038238,1302.0,420.0,1302.2127272385237,418.13205307107023,365.91048212773876,1.8800209060827167
R_xml,211,542464.7014751395,3363865.3167513665,23.75293079038238,4228.0,1480.0,4228.573842319719,1480.2393184129128,587.8361504962129,0.6217461786449369
R_xml,825,542464.7014751395,3363865.3167513665,23.75293079038238,4941.0,2661.0,4943.183922391115,2660.640744130091,667.1880291951696,2.2132739980572134
R_xml,774,542464.7014751395,3363865.3167513665,23.75293079038238,232.0,2125.0,234.92276532065807,2125.1522852842977,490.9657622987837,2.9267299033998877
R_xml,495,542464.7014751395,3363865.3167513665,23.75293079038238,3722.0,3342.0,3722.5495805782502,3342.479174610312,857.588440809465,0.7291413574592109
R_xml,455,542464.7014751395,3363865.3167513665,23.75293079038238,963.0,354.0,963.8027449235205,353.44849980010076,365.3736465579759,0.9739362826832728
R_xml,744,542464.7014751395,3363865.3167513665,23.75293079038238,4990.0,3521.0,4991.415760766057,3520.855430272255,355.22196104774014,1.4231229577542677
R_xml,640,543330.6037496674,3363648.4214797914,22.730366111517924,2922.0,933.0,2922.9167804241474,932.8402891276812,706.4753575910851,0.9305879371863508
R_xml,636,543330.6037496674,3363648.4214797914,22.730366111517924,2895.0,284.0,2895.2773273948924,282.98532245595334,921.4065522763875,1.0518940071843559
R_xml,628,543330.6037496674,3363648.4214797914,22.730366111517924,1811.0,3157.0,1812.660983205893,3155.814989962404,790.3235884682941,2.040371044555784
R_xml,632,543330.6037496674,3363648.4214797914,22.730366111517924,1913.0,3509.0,1914.8702241022713,3508.1561187639018,932.138066464504,2.0517976833389953
R_xml,634,543330.6037496674,3363648.4214797914,22.730366111517924,1966.0,3709.0,1967.1188671218733,3707.3298090935464,1044.3709335336252,2.0103236805075717
R_xml,622,543330.6037496674,3363648.4214797914,22.730366111517924,1635.0,2603.0,1635.6942663540374,2602.145313313303,640.9615984185135,1.1011335535552225
R_xml,516,543330.6037496674,3363648.4214797914,22.730366111517924,1028.0,3421.0,1030.040845567282,3419.2299779367304,896.3137483242602,2.7014863934427096
R_xml,630,543330.6037496674,3363648.4214797914,22.730366111517924,1852.0,3296.0,1853.7692407265201,3294.7632079091,841.2000123786761,2.158672607064451
R_xml,518,543330.6037496674,3363648.4214797914,22.730366111517924,1159.0,3645.0,1161.2102749184774,3643.4608808891126,1005.5348997524778,2.693362740655075
R_xml,639,543330.6037496674,3363648.4214797914,22.730366111517924,2881.0,742.0,2881.012922939526,740.7251666104785,761.1948326835594,1.2748988875220335
R_xml,524,543330.6037496674,3363648.4214797914,22.730366111517924,3592.0,222.0,3592.9870521376306,218.98193075046083,972.9551402642219,3.175376185181064
R_xml,624,543330.6037496674,3363648.4214797914,22.730366111517924,1705.0,2825.0,1705.6629306931827,2824.6181989292813,690.9143630551708,0.7650157917099724
R_xml,626,543330.6037496674,3363648.4214797914,22.730366111517924,1772.0,3011.0,1773.684942236433,3010.339842427637,743.1603112361913,1.8096514472306848
R_xml,635,543330.6037496674,3363648.4214797914,22.730366111517924,1995.0,3792.0,1996.3735318895588,3790.15821841885,1101.1707782364624,2.297552881719581
R_xml,526,543330.6037496674,3363648.4214797914,22.730366111517924,3761.0,462.0,3762.4612279136854,460.25514088011323,861.3418719562468,2.2758999020136
R_xml,637,543330.6037496674,3363648.4214797914,22.730366111517924,2872.0,420.0,2872.271414000942,418.94100458095204,869.3808469056733,1.0932231508122854
R_xml,638,543330.6037496674,3363648.4214797914,22.730366111517924,2884.0,573.0,2884.3777459695402,572.2560174030807,815.4953123201357,0.8343872734064596
R_xml,633,543330.6037496674,3363648.4214797914,22.730366111517924,1956.0,3619.0,1957.8781863576464,3617.7658815209797,988.5512463189938,2.2473612113562025
R_xml,523,543330.6037496674,3363648.4214797914,22.730366111517924,3530.0,117.0,3531.7074850311,114.11029390423869,1027.2541306686992,3.356472322440767
R_xml,156,542735.127118837,3362616.8518754607,22.733291608871355,2997.0,2413.0,2996.938270150137,2412.969942686993,460.49364711178873,0.06865869521982183
R_xml,355,542735.127118837,3362616.8518754607,22.733291608871355,4281.0,175.0,4283.812448409784,173.3661985842989,1023.9132738957732,3.252564084479408
R_xml,132,542735.127118837,3362616.8518754607,22.733291608871355,2952.0,409.0,2951.551297889202,408.6100387217441,883.7501461170707,0.5944774030806584
R_xml,241,542735.127118837,3362616.8518754607,22.733291608871355,3644.0,178.0,3645.6264986373535,176.98093373679308,1001.3841398384151,1.9193733003559617
R_xml,227,542735.127118837,3362616.8518754607,22.733291608871355,2046.0,3844.0,2046.8010840577663,3841.373425419709,1146.36525204273,2.746020701567812
R_xml,336,542735.127118837,3362616.8518754607,22.733291608871355,1192.0,3514.0,1194.554057516144,3512.152738607457,964.8312899253416,3.1520762123005155
R_xml,128,542735.127118837,3362616.8518754607,22.733291608871355,2946.0,201.0,2947.3476663749034,199.73125704208064,979.3952139369773,1.850922297481768
R_xml,126,542735.127118837,3362616.8518754607,22.733291608871355,2940.0,126.0,2941.3441723925625,124.75338365410744,1021.9111602826501,1.8332625929674748
R_xml,243,542735.127118837,3362616.8518754607,22.733291608871355,3687.0,267.0,3687.1585915543474,265.49903949592,953.1939059719712,1.5093156448928895
R_xml,226,542735.127118837,3362616.8518754607,22.733291608871355,2035.0,3792.0,2036.089286089309,3789.5482097890986,1110.141039000824,2.682875215628639
R_xml,124,542735.127118837,3362616.8518754607,22.733291608871355,2919.0,50.0,2920.117816240693,48.219207932714426,1070.1448836928048,2.102554050402664
R_xml,456,542735.127118837,3362616.8518754607,22.733291608871355,540.0,3602.0,543.3160622816372,3598.2442272707694,1007.6705621732585,5.010199382193165
R_xml,338,542735.127118837,3362616.8518754607,22.733291608871355,1246.0,3598.0,1248.6345561474106,3595.749506699972,1014.5968006031037,3.4649107040919693
R_xml,684,542058.6284545857,3363861.4592073187,24.278317348189944,4075.0,1531.0,4076.3568630511286,1530.9067825892766,572.2491072484752,1.3600613314038228
R_xml,683,542058.6284545857,3363861.4592073187,24.278317348189944,3971.0,1248.0,3972.0368756206153,1248.4511774196649,625.6935623527058,1.1307838505399062
R_xml,214,542058.6284545857,3363861.4592073187,24.278317348189944,2112.0,1031.0,2112.424709823305,1029.959323214031,677.3297650590553,1.1240047183471062
R_xml,716,542058.6284545857,3363861.4592073187,24.278317348189944,677.0,2472.0,678.9444704846076,2470.9312701784384,618.6333296836646,2.2188170039471853
R_xml,211,542058.6284545857,3363861.4592073187,24.278317348189944,2168.0,828.0,2168.046612270654,827.4842429991811,730.4843401567541,0.5178590422781211
R_xml,714,542058.6284545857,3363861.4592073187,24.278317348189944,497.0,2193.0,499.0698387559278,2192.6788610124336,562.8411864041491,2.0946032380562754
R_xml,208,542058.6284545857,3363861.4592073187,24.278317348189944,2197.0,645.0,2196.3765322493887,644.824307136882,782.3014778655546,0.6477499658069826
R_xml,685,542058.6284545857,3363861.4592073187,24.278317348189944,4233.0,1891.0,4234.299953333335,1890.619131684801,517.2080275246193,1.3545993290900789
R_xml,251,542058.6284545857,3363861.4592073187,24.278317348189944,3602.0,2952.0,3602.428566825267,2952.6693210122457,725.909294415204,0.7947704958999283
R_xml,748,542435.7218192273,3363267.2657910245,18.953850607746176,706.0,2223.0,708.413528620104,2222.143876865736,483.9193505508331,2.560872355484238
R_xml,226,542435.7218192273,3363267.2657910245,18.953850607746176,2033.0,2365.0,2033.8317055129567,2365.082831929756,602.5303977385923,0.8358200696738661
R_xml,752,542435.7218192273,3363267.2657910245,18.953850607746176,238.0,3286.0,242.16345214368266,3283.216658516895,378.6555656688973,5.0081257536435375
R_xml,224,542435.7218192273,3363267.2657910245,18.953850607746176,2021.0,2073.0,2021.2465838624416,2072.5584821572124,553.1835875974513,0.5057090138769719
R_xml,750,542435.7218192273,3363267.2657910245,18.953850607746176,485.0,2706.0,487.7408906685405,2704.972287916602,431.0174720245598,2.927229711391741
R_xml,60,542624.3232710499,3363097.1841630386,21.30808048242062,3521.0,339.0,3521.4097817148586,338.3477177719449,901.1892548412771,0.7703201664691133
R_xml,904,542624.3232710499,3363097.1841630386,21.30808048242062,2512.0,2667.0,2511.8240644290504,2667.8072016359497,436.9091836529227,0.8261524110024906
R_xml,728,542624.3232710499,3363097.1841630386,21.30808048242062,4532.0,3693.0,4533.079864125263,3692.482408420833,1087.6013391815873,1.1975005519225852
R_xml,725,542624.3232710499,3363097.1841630386,21.30808048242062,4918.0,3372.0,4920.071341998979,3372.361846119265,915.9358863121153,2.102710225104909
R_xml,733,542624.3232710499,3363097.1841630386,21.30808048242062,1055.0,108.0,1054.8292241767238,107.00822151355851,1079.907735425823,1.0063741590401907
R_xml,737,542624.3232710499,3363097.1841630386,21.30808048242062,634.0,547.0,634.5100206927852,545.5536711182715,860.9461738631389,1.533619359942737
R_xml,738,542624.3232710499,3363097.1841630386,21.30808048242062,502.0,663.0,504.5852308375406,661.9480431993904,805.1154127770195,2.7910628071972297
R_xml,739,542624.3232710499,3363097.1841630386,21.30808048242062,329.0,819.0,331.19294605735104,818.504935136476,748.0791284139317,2.248132920791721
R_xml,874,542624.3232710499,3363097.1841630386,21.30808048242062,2155.0,1344.0,2156.1452441650968,1343.8361386354052,616.2902088264685,1.1569074053246622
R_xml,726,542624.3232710499,3363097.1841630386,21.30808048242062,4785.0,3499.0,4787.041583681757,3498.852597664547,971.5366539598003,2.0468979891814665
R_xml,727,542624.3232710499,3363097.1841630386,21.30808048242062,4643.0,3611.0,4644.8248645229505,3610.359533045541,1029.9759908395004,1.9339928766356589
R_xml,989,542624.3232710499,3363097.1841630386,21.30808048242062,1423.0,2879.0,1423.0954536027082,2877.7610101204873,694.5523574336191,1.2426613825998085
R_xml,1067,542624.3232710499,3363097.1841630386,21.30808048242062,4722.0,408.0,4724.965772580195,404.27387929331144,913.7827064102418,4.762329526424201
R_xml,1055,542624.3232710499,3363097.1841630386,21.30808048242062,487.0,2973.0,489.0379639124435,2971.901112721218,734.585042268039,2.3153509798497205
R_xml,893,542624.3232710499,3363097.1841630386,21.30808048242062,2058.0,2445.0,2058.7187650939954,2445.298077246271,613.705768040424,0.7781216518583888
R_xml,892,542624.3232710499,3363097.1841630386,21.30808048242062,2015.0,2134.0,2015.8034833908564,2133.8276211315006,557.6074050334465,0.8217664106589194
R_xml,736,542624.3232710499,3363097.1841630386,21.30808048242062,758.0,438.0,758.094062627818,436.8125131184561,917.570728993358,1.191206477396307
R_xml,1066,542624.3232710499,3363097.1841630386,21.30808048242062,4609.0,279.0,4612.145189399376,275.32749035992106,967.2787633968799,4.835239747357053
R_xml,1007,542624.3232710499,3363097.1841630386,21.30808048242062,4500.0,1257.0,4502.1476798184285,1255.129671118953,650.32640595071,2.847921825781709
R_xml,735,542624.3232710499,3363097.1841630386,21.30808048242062,865.0,329.0,864.9953311252182,327.80058832698387,973.200425101151,1.1994207601000906
R_xml,834,542624.3232710499,3363097.1841630386,21.30808048242062,3759.0,1183.0,3758.8041763164856,1182.6025721613205,654.2103726281184,0.44305282075911323
R_xml,969,542624.3232710499,3363097.1841630386,21.30808048242062,1010.0,2124.0,1011.3072989087143,2123.9801608707794,493.5845507220844,1.3074494360294915
R_xml,831,541919.0938999769,3363237.4430718985,25.34302251968404,468.0,2659.0,469.7411141696002,2658.051932390427,430.42295708191,1.9825011333929832
R_xml,696,541919.0938999769,3363237.4430718985,25.34302251968404,4033.0,2775.0,4033.353784127641,2774.582744560191,420.4880566534764,0.54705147017548
R_xml,763,541919.0938999769,3363237.4430718985,25.34302251968404,2092.0,403.0,2091.5013833910225,402.5059555411958,364.90006751956423,0.7019248179280589
R_xml,830,541919.0938999769,3363237.4430718985,25.34302251968404,4151.0,622.0,4152.405120034811,619.5561635844692,380.16627679984265,2.8189889567187514
R_xml,766,541919.0938999769,3363237.4430718985,25.34302251968404,2084.0,3319.0,2084.7695417022037,3317.6238686897586,376.09360724662815,1.5766838029412147
R_xml,764,541919.0938999769,3363237.4430718985,25.34302251968404,2117.0,1073.0,2117.5962000790023,1072.010484098579,421.0267586541525,1.1552472693616562
R_xml,80,542215.6486622745,3363669.830994471,20.779974317044548,3396.0,623.0,3396.459621610937,621.3168563188531,805.7787012181407,1.7447706659115039
R_xml,139,542215.6486622745,3363669.830994471,20.779974317044548,2269.0,2255.0,2269.434193253195,2254.2320420920414,577.3003447492043,0.8822035646699434
R_xml,145,542215.6486622745,3363669.830994471,20.779974317044548,2292.0,2784.0,2293.086287489878,2784.015333784945,685.9158607304508,1.0863957085824019
R_xml,779,542215.6486622745,3363669.830994471,20.779974317044548,214.0,1138.0,215.62585956855582,1136.4626860449591,426.03027764697885,2.2375776038001325
R_xml,74,542215.6486622745,3363669.830994471,20.779974317044548,3281.0,344.0,3281.991424476928,342.6140441585296,912.1603728235542,1.7040528418912613
R_xml,77,542215.6486622745,3363669.830994471,20.779974317044548,3338.0,481.0,3339.0254967734854,479.37940371863556,859.6897232994688,1.9178049795537822
R_xml,83,542215.6486622745,3363669.830994471,20.779974317044548,3474.0,797.0,3474.3436828630192,796.5376325442837,752.020245359037,0.576108995276626
R_xml,214,542215.6486622745,3363669.830994471,20.779974317044548,2198.0,2015.0,2198.2434005752275,2014.974179009629,509.27494578861405,0.2447663448368887
R_xml,154,542215.6486622745,3363669.830994471,20.779974317044548,2310.0,3309.0,2311.411236471272,3308.435859136509,848.0866764612064,1.5198168612396445
R_xml,148,542215.6486622745,3363669.830994471,20.779974317044548,2306.0,2985.0,2306.6653532175346,2985.0691734009442,739.2825888223247,0.668939357103375
R_xml,242,542215.6486622745,3363669.830994471,20.779974317044548,4249.0,3511.0,4248.539317316316,3510.258748179686,374.4517692088227,0.8727444048320295
R_xml,199,542215.6486622745,3363669.830994471,20.779974317044548,2387.0,705.0,2386.199439980365,703.7612300691078,772.0336813022064,1.474939756980267
R_xml,403,542881.9112572927,3362810.8146829125,20.086959335519623,3798.0,2613.0,3798.1048723253452,2613.5369613701296,649.9392430460508,0.5471066784775601
R_xml,1011,542881.9112572927,3362810.8146829125,20.086959335519623,2290.0,2790.0,2290.1693300200477,2790.1293657408205,427.44340336357095,0.21309188296928505
R_xml,302,542881.9112572927,3362810.8146829125,20.086959335519623,1414.0,1872.0,1413.8962577944521,1872.3083193649782,370.5607771228773,0.3253048970311862
R_xml,390,542881.9112572927,3362810.8146829125,20.086959335519623,4834.0,1621.0,4837.102820335176,1619.7567201117665,371.82583566361905,3.342639512850355
R_xml,593,543286.2259295434,3363774.420706937,26.70702661530254,907.0,1444.0,907.1862695347854,1443.7351910976931,363.0829990841006,0.32375931543377495
R_xml,661,543286.2259295434,3363774.420706937,26.70702661530254,3355.0,1601.0,3354.3926584030633,1601.1859956843805,363.99972776232323,0.635183603360356
R_xml,570,543286.2259295434,3363774.420706937,26.70702661530254,4674.0,1590.0,4676.366314996938,1588.1292936618222,474.2600544753258,3.0164530277184833
R_xml,568,543286.2259295434,3363774.420706937,26.70702661530254,4896.0,1144.0,4897.980624691956,1142.2006146068015,424.5505814304496,2.6759413229071787
R_xml,662,543286.2259295434,3363774.420706937,26.70702661530254,3352.0,1662.0,3351.8708342485133,1662.8088530207733,364.0684551420428,0.8191013371807087
R_xml,591,543286.2259295434,3363774.420706937,26.70702661530254,936.0,772.0,936.8372592297637,771.4527623969773,362.3816995128048,1.000235978150462
R_xml,19,542666.6137013257,3362611.8122823513,25.225180052278404,2174.0,535.0,2173.8633871728207,534.2014364896797,831.3443861680735,0.8101646404064702
R_xml,25,542666.6137013257,3362611.8122823513,25.225180052278404,2110.0,860.0,2110.1114569007514,858.9091934230762,726.120850896986,1.0964860368401002
R_xml,22,542666.6137013257,3362611.8122823513,25.225180052278404,2145.0,688.0,2144.705072593693,687.1290056257913,778.7527988648131,0.9195723869790446
R_xml,16,542666.6137013257,3362611.8122823513,25.225180052278404,2197.0,401.0,2196.385713579815,399.5945991320327,884.2001754428859,1.5337859712838326
R_xml,93,542666.6137013257,3362611.8122823513,25.225180052278404,2549.0,3002.0,2549.8098367013313,3002.2849306728885,743.6847161159274,0.8584992551981903
R_xml,141,542666.6137013257,3362611.8122823513,25.225180052278404,3280.0,948.0,3279.8798933774387,946.5046462043539,700.4680993987455,1.5001695154002765
R_xml,96,542666.6137013257,3362611.8122823513,25.225180052278404,2528.0,3165.0,2528.4241412080337,3164.980409595636,798.0129433599606,0.4245933917236818
R_xml,90,542666.6137013257,3362611.8122823513,25.225180052278404,2559.0,2816.0,2558.9707271742363,2814.8585552467653,689.6529052290363,1.1418200484381498
R_xml,84,542666.6137013257,3362611.8122823513,25.225180052278404,2613.0,2307.0,2612.419160283845,2306.8758001837837,580.4671265373537,0.5939700078380693
R_xml,968,542666.6137013257,3362611.8122823513,25.225180052278404,4588.0,2938.0,4589.0239090164705,2938.677970538876,404.3880924193325,1.228020246410099
R_xml,150,542666.6137013257,3362611.8122823513,25.225180052278404,3401.0,1764.0,3401.377284898048,1763.2313424698273,542.2532608528392,0.8562583097326958
R_xml,162,542666.6137013257,3362611.8122823513,25.225180052278404,3578.0,1436.0,3578.618077901148,1435.7930931495098,366.1936361741021,0.6517904085418652
R_xml,789,542747.4685832544,3363652.9762581172,27.717198711344395,2426.0,1013.0,2426.6187540738724,1012.3761913464278,412.4952270975372,0.8786318001331533
R_xml,445,542747.4685832544,3363652.9762581172,27.717198711344395,2347.0,3254.0,2346.592339076434,3252.8276177907405,378.8020523990189,1.2412362680773674
R_xml,447,542747.4685832544,3363652.9762581172,27.717198711344395,2305.0,828.0,2304.7657226668894,828.241862275961,362.58857157098106,0.3367242630736228
R_xml,741,542747.4685832544,3363652.9762581172,27.717198711344395,1815.0,3384.0,1815.1303111725615,3383.5966029533965,366.648877115331,0.42392237367559127
R_xml,563,542747.4685832544,3363652.9762581172,27.717198711344395,249.0,1024.0,250.0332261184949,1023.600217684708,361.0473892799243,1.1078727867224862
R_xml,466,542747.4685832544,3363652.9762581172,27.717198711344395,3626.0,1333.0,3626.224870288649,1333.143544282169,612.9195376009961,0.26678007358217537
R_xml,323,542747.4685832544,3363652.9762581172,27.717198711344395,4158.0,2542.0,4158.237609999303,2540.7512410478885,438.6365401791285,1.27116381015479
R_xml,578,542747.4685832544,3363652.9762581172,27.717198711344395,1200.0,2878.0,1202.2227143394232,2876.8420230881347,709.7963038951425,2.506266059916721
R_xml,661,543232.8932849836,3363763.9668185236,20.577156083454838,2830.0,1423.0,2830.814851472632,1422.782849740413,369.8343484647453,0.8432894862913752
R_xml,604,543232.8932849836,3363763.9668185236,20.577156083454838,1512.0,1090.0,1512.4716719304338,1089.7948153011155,425.6052258070482,0.5143687107663785
R_xml,501,543232.8932849836,3363763.9668185236,20.577156083454838,588.0,2488.0,591.0233341154694,2487.6491387438446,618.4774666758865,3.043624943193931
R_xml,658,543232.8932849836,3363763.9668185236,20.577156083454838,2839.0,676.0,2839.202602569141,675.1889474638792,368.75005985197384,0.8359748903947603
R_xml,208,542011.272410783,3363407.69871869,21.374769290162817,198.0,1859.0,200.08286836068282,1858.6228580044103,529.9330756806893,2.1167372753298697
R_xml,708,542011.272410783,3363407.69871869,21.374769290162817,2890.0,2344.0,2890.2154168793113,2344.4262883517686,596.1548213242263,0.47762557589159654
R_xml,106,542011.272410783,3363407.69871869,21.374769290162817,953.0,2485.0,954.2639654629897,2483.4450897259235,370.14860289431834,2.0038349862350433
R_xml,694,542011.272410783,3363407.69871869,21.374769290162817,1361.0,1357.0,1361.8948199354431,1356.685216126587,453.6498485256441,0.9485734572648421
R_xml,108,542011.272410783,3363407.69871869,21.374769290162817,920.0,3138.0,921.7813270153447,3136.335277179506,371.1234237710279,2.4381197683193636
R_xml,695,542011.272410783,3363407.69871869,21.374769290162817,1477.0,1944.0,1477.5715977924524,1943.2423496346323,511.0796196727362,0.9490827743027636
R_xml,693,542011.272410783,3363407.69871869,21.374769290162817,1222.0,794.0,1222.6647102849126,793.9877926922675,398.1062751400369,0.6648223681786926
R_xml,710,542011.272410783,3363407.69871869,21.374769290162817,2876.0,2606.0,2876.453129582678,2605.8039027907594,651.4069746547682,0.4937413636406205
R_xml,3,541889.643942309,3362914.162051272,32.535122922793164,4334.0,464.0,4336.563689371842,461.19647593904233,852.4141222799316,3.7989801731075254
R_xml,4,541889.643942309,3362914.162051272,32.535122922793164,4456.0,641.0,4458.855223414204,639.1071657295702,799.4636794194806,3.4256564801997462
R_xml,6,541889.643942309,3362914.162051272,32.535122922793164,4747.0,1020.0,4749.349456789725,1018.3773637920357,689.8410330356975,2.855327559174624
R_xml,153,542529.2221211332,3362184.0920340167,7.986258387417308,4909.0,1116.0,4911.647664312846,1115.1541370070831,704.0810248064989,2.77949824902011
R_xml,147,542529.2221211332,3362184.0920340167,7.986258387417308,4646.0,751.0,4648.412647105947,749.5086593810465,810.7876288450789,2.8363643806069163
R_xml,84,542529.2221211332,3362184.0920340167,7.986258387417308,1082.0,3078.0,1084.5870052293699,3076.341520085061,800.0138945619693,3.0729711493998004
R_xml,34,542529.2221211332,3362184.0920340167,7.986258387417308,3733.0,802.0,3733.91014657731,800.1824580406219,787.0896703967937,2.0326892448894682
R_xml,87,542529.2221211332,3362184.0920340167,7.986258387417308,1142.0,3222.0,1143.5147551946206,3220.970147808106,852.2011282034587,1.8316874287877318
R_xml,31,542529.2221211332,3362184.0920340167,7.986258387417308,3640.0,639.0,3640.6323451704698,637.3774031653807,842.1724975462456,1.7414594173661202
R_xml,37,542529.2221211332,3362184.0920340167,7.986258387417308,3802.0,975.0,3803.550930015642,973.3870963814779,733.9328819336919,2.237597371302606
R_xml,81,542529.2221211332,3362184.0920340167,7.986258387417308,1019.0,2909.0,1019.8162493838315,2908.6076414741465,748.5427740381203,0.9056535040595184
R_xml,99,542529.2221211332,3362184.0920340167,7.986258387417308,1406.0,3635.0,1406.6665538577745,3632.9002309007883,1072.2688031183122,2.2030261721818833
R_xml,103,542529.2221211332,3362184.0920340167,7.986258387417308,1469.0,3782.0,1470.5339606426155,3780.391880502233,1164.3952800522197,2.222404907345067
R_xml,203,542529.2221211332,3362184.0920340167,7.986258387417308,403.0,3144.0,406.40295840267345,3141.03969773034,842.5448941514991,4.510378633560686
R_xml,206,542529.2221211332,3362184.0920340167,7.986258387417308,516.0,3276.0,519.625940679327,3273.595877822814,895.2922654518981,4.350545856882203
R_xml,96,542529.2221211332,3362184.0920340167,7.986258387417308,1336.0,3549.0,1338.2739777978454,3547.501842793556,1016.1162785947066,2.723132394929367
R_xml,796,543061.7718150304,3364103.032201932,19.45175930790259,527.0,1343.0,528.5225294030488,1343.1459195102193,451.29515697181637,1.5295058962327523
R_xml,569,543061.7718150304,3364103.032201932,19.45175930790259,4982.0,924.0,4985.169120382909,921.1022098561489,371.33026291816833,4.294241693147679
R_xml,795,543061.7718150304,3364103.032201932,19.45175930790259,299.0,798.0,300.94145304000085,797.7257167885216,395.2958959973079,1.9607323087630948
R_xml,797,543061.7718150304,3364103.032201932,19.45175930790259,729.0,1789.0,731.517069867471,1788.7138648506548,507.6179320082145,2.5332812795703274
R_xml,571,543061.7718150304,3364103.032201932,19.45175930790259,4991.0,1564.0,4993.811163311134,1562.670791722126,371.52050370662926,3.1095713221976227
