depth,dom_col,dom_patch_rel,dom_row,dsm_height,hit,index,query_patch_rel,query_x,query_y,x_raster,y_raster,z_ray
362.8147877338018,2428,patches/dom_00.png,5330,28.515424728393555,True,0,patches/query_00.png,2640.0,1978.0,253723.81500410143,3364943.3710503527,28.515424728393555
374.4585406304088,3628,patches/dom_01.png,5484,15.568336486816406,True,1,patches/query_01.png,1320.0,989.0,253891.93877336965,3364921.769435917,15.557938533029983
360.1406464979765,1961,patches/dom_02.png,6395,31.461332321166992,True,2,patches/query_02.png,3959.0,989.0,253658.4601532619,3364794.218965621,31.445679373104724
366.1773425062868,2904,patches/dom_03.png,4245,24.90410041809082,True,3,patches/query_03.png,1320.0,2966.0,253790.53208600872,3365095.384648841,24.89099950292399
365.00441921859056,1258,patches/dom_04.png,5178,27.595735549926758,True,4,patches/query_04.png,3959.0,2966.0,253560.00366550498,3364964.6145709795,27.605736479874565
364.43976483866555,2770,patches/dom_05.png,5936,26.28957176208496,True,5,patches/query_05.png,2640.0,989.0,253771.78085606536,3364858.5118415593,26.388556875970096
362.5157429167018,2087,patches/dom_06.png,4727,29.334598541259766,True,6,patches/query_06.png,2640.0,2966.0,253676.11218511136,3365027.813328579,29.313646465695683
374.845893506695,3265,patches/dom_07.png,4856,15.626229286193848,True,7,patches/query_07.png,1320.0,1978.0,253841.08385447916,3365009.820448137,15.699541602352156
364.2804161416369,1615,patches/dom_08.png,5789,27.878543853759766,True,8,patches/query_08.png,3959.0,1978.0,253609.94949327846,3364879.0710644117,27.811757742165526
365.32841069946636,2564,patches/dom_09.png,5572,25.71001625061035,True,9,patches/query_09.png,2640.0,1582.0,253742.93757818386,3364909.5219952953,25.801626928452833
