index,query_image,tiepoint_index,photo_id,manual_label,manual_note
170,0001.jpg,6434,13,unlabeled,
171,0001.jpg,6435,13,unlabeled,
172,0002.jpg,6465,17,unlabeled,
173,0000.jpg,6489,7,unlabeled,
174,0000.jpg,6491,7,unlabeled,
175,0000.jpg,6519,7,unlabeled,
176,0000.jpg,6521,7,unlabeled,
177,0002.jpg,6526,17,unlabeled,
178,0000.jpg,6552,7,unlabeled,
179,0001.jpg,6626,13,unlabeled,
180,0000.jpg,6626,7,unlabeled,
181,0002.jpg,6762,17,unlabeled,
182,0001.jpg,6818,13,unlabeled,
183,0002.jpg,6870,17,unlabeled,
184,0002.jpg,6889,17,unlabeled,
185,0001.jpg,7691,13,unlabeled,
186,0002.jpg,8081,17,unlabeled,
