hit,hit_depth,hit_depth_vs_projection_depth_m,hit_dom_col,hit_dom_patch_rel,hit_dom_row,hit_dsm_height,hit_dsm_vs_tiepoint_dsm_error_m,hit_raster_x,hit_raster_y,hit_xy_error_m,hit_z_ray,hit_z_vs_tiepoint_error_m,index,legacy_rotation_convention,measurement_x,measurement_y,photo_id,projected_x,projected_y,projection_depth,query_image,query_patch_rel,query_vs_tiepoint_dom_mad,ray_rotation_matrix_source,render_ray_convention,render_ray_rotation,reprojection_error_px,rotation_convention,tiepoint_dom_col,tiepoint_dom_patch_rel,tiepoint_dom_row,tiepoint_dom_vs_hit_dom_mad,tiepoint_dsm_height,tiepoint_index,tiepoint_raster_x,tiepoint_raster_y,tiepoint_xml_x,tiepoint_xml_y,tiepoint_xml_z,xml_projection_rotation
True,374.0,0.042612104104705395,2720,patches/0000/hit_dom_0010.png,3856,18.243486404418945,1.0433616638183594,253764.75923388393,3365149.739770525,5.661634712235709,17.35190332728598,0.042299943319790145,10,R_xml_transpose,1323.0,3508.0,7,1323.9787583991554,3506.320617270915,373.9573878958953,0000.jpg,patches/0000/query_0010.png,22.512662887573242,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,1.9437835153806875,R_xml_transpose,2760,patches/0000/tiepoint_dom_0010.png,3865,25.971834182739258,19.286848068237305,300,253770.27844360305,3365148.477854644,542023.1235257793,3363787.9069308625,17.39420327060577,R_world_to_camera = R_xml
True,376.0,0.18481031256351343,3262,patches/0000/hit_dom_0011.png,5176,15.08873462677002,0.28124332427978516,253840.62151932705,3364964.886610277,3.123979213412056,14.47632596706785,0.1856335716634021,11,R_xml_transpose,1540.0,1597.0,7,1540.7577028207509,1596.9022601770378,375.8151896874365,0000.jpg,patches/0000/query_0011.png,15.857751846313477,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.7639807835060427,R_xml_transpose,3266,patches/0000/tiepoint_dom_0011.png,5198,10.500276565551758,15.369977951049805,309,253841.13405262702,3364961.8049620586,542098.8760623944,3363603.237335544,14.661959538731253,R_world_to_camera = R_xml
True,366.0,0.06504526401090516,2635,patches/0000/hit_dom_0012.png,5470,25.555025100708008,0.001049041748046875,253752.85922378747,3364923.7646687864,0.7368943513162225,25.077577803783583,0.06448721247284084,12,R_xml_transpose,2481.0,1659.0,7,2479.9022405894198,1659.057870810473,365.9349547359891,0000.jpg,patches/0000/query_0012.png,28.86240577697754,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,1.0992837460011342,R_xml_transpose,2633,patches/0000/tiepoint_dom_0012.png,5475,20.859882354736328,25.556074142456055,314,253752.49381154837,3364923.1247569327,542011.3204182582,3363562.235341439,25.142065016256424,R_world_to_camera = R_xml
True,366.0,1.1760599755411363,3955,patches/0000/hit_dom_0013.png,4362,24.921772003173828,0.10829544067382812,253937.635210521,3365078.9693539226,6.754572712985061,23.923194236635823,1.1816935538491293,13,R_xml_transpose,208.0,2100.0,7,209.88785118334,2099.747275807374,364.82394002445886,0000.jpg,patches/0000/query_0013.png,17.95108413696289,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,1.904691998191997,R_xml_transpose,3975,patches/0000/tiepoint_dom_0013.png,4406,20.759763717651367,25.030067443847656,369,253940.4165955781,3365072.814018863,542195.1509031913,3363716.801247388,25.104887790484952,R_world_to_camera = R_xml
True,366.0,0.5127560137091223,1382,patches/0000/hit_dom_0014.png,5908,27.269962310791016,0.24782180786132812,253577.38994758695,3364862.444564441,4.409075752069981,26.31285858370694,0.5116931313189639,14,R_xml_transpose,4305.0,1993.0,7,4305.975552863232,1992.4863073549468,365.4872439862909,0000.jpg,patches/0000/query_0014.png,30.930572509765625,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,1.102535043679946,R_xml_transpose,1369,patches/0000/tiepoint_dom_0014.png,5880,33.56126403808594,27.022140502929688,390,253575.4605088375,3364866.409058747,541835.9094329283,3363500.8687553788,26.824551715025905,R_world_to_camera = R_xml
True,366.0,0.9707077391711891,1630,patches/0000/hit_dom_0015.png,5614,28.70686912536621,2.6038284301757812,253612.02564697075,3364903.658000104,3.188032135109566,26.11605386032977,0.9687831026930098,15,R_xml_transpose,3816.0,2183.0,7,3816.3368109321773,2182.991532288537,365.0292922608288,0000.jpg,patches/0000/query_0015.png,28.44205093383789,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.336917358073979,R_xml_transpose,1625,patches/0000/tiepoint_dom_0015.png,5591,28.857357025146484,26.10304069519043,410,253611.31884301978,3364906.7666938924,541870.6744340338,3363542.148841051,27.08483696302278,R_world_to_camera = R_xml
True,366.0,0.6687829074484739,1034,patches/0000/hit_dom_0016.png,5110,28.899890899658203,0.9556045532226562,253528.52924945878,3364974.2016903516,5.273096591860478,26.864958269029728,0.6659414302920368,16,R_xml_transpose,4166.0,3188.0,7,4166.321660041283,3187.611550492925,365.3312170925515,0000.jpg,patches/0000/query_0016.png,28.56433868408203,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.5043393715598394,R_xml_transpose,1042,patches/0000/tiepoint_dom_0016.png,5073,24.422563552856445,27.944286346435547,411,253529.76762096919,3364979.327310672,541787.256508691,3363612.5000311984,27.530899699321765,R_world_to_camera = R_xml
True,366.0,0.683898802813701,1826,patches/0000/hit_dom_0017.png,4933,27.061307907104492,0.28455162048339844,253639.4849119037,3364998.921657611,2.754217544417516,26.061139247087965,0.6828065995980523,17,R_xml_transpose,3105.0,2884.0,7,3105.3216567947834,2884.2145650287616,365.3161011971863,0000.jpg,patches/0000/query_0017.png,26.51984214782715,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.38665390880967926,R_xml_transpose,1838,patches/0000/tiepoint_dom_0017.png,4918,26.90374755859375,27.34585952758789,422,253641.1473276518,3365001.1175829656,541897.9834442264,3363637.2258669827,26.743945846686017,R_world_to_camera = R_xml
True,370.0,0.37586917982298473,2968,patches/0000/hit_dom_0018.png,4629,21.647546768188477,0.22820472717285156,253799.39462244674,3365041.5620814296,3.416573199060775,20.913882325458474,0.3756237217285161,18,R_xml_transpose,1506.0,2457.0,7,1506.0635632961082,2455.652709569663,369.624130820177,0000.jpg,patches/0000/query_0018.png,25.713687896728516,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,1.3487890110355052,R_xml_transpose,2987,patches/0000/tiepoint_dom_0018.png,4644,25.61759376525879,21.419342041015625,431,253802.04229251627,3365039.4027260565,542057.7552549933,3363679.747072514,21.28950604718699,R_world_to_camera = R_xml
True,368.0,1.2855326972639887,2075,patches/0000/hit_dom_0019.png,5075,25.42253875732422,0.42537498474121094,253674.373158544,3364979.044844366,1.7017288532140444,23.76366306980833,1.2836702172204468,19,R_xml_transpose,2897.0,2536.0,7,2897.020153452371,2535.388864446619,366.714467302736,0000.jpg,patches/0000/query_0019.png,18.263431549072266,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.611467763866998,R_xml_transpose,2084,patches/0000/tiepoint_dom_0019.png,5067,18.548166275024414,24.997163772583008,439,253675.5920029105,3364980.2324046805,541932.9579978132,3363617.2672564522,25.047333287028778,R_world_to_camera = R_xml
