dom_col,dom_patch_rel,dom_row,dsm_height,index,measurement_x,measurement_y,patch_mean_absdiff_rgb,photo_id,projected_x,projected_y,projection_depth,query_image,query_patch_rel,reprojection_error_px,tiepoint_index,tiepoint_raster_x,tiepoint_raster_y,tiepoint_xml_x,tiepoint_xml_y,tiepoint_xml_z
1529,patches/dom_0000.png,4840,26.745466232299805,0,3434.0,3177.0,32.04133987426758,7,3433.1145980235024,3176.417661469307,365.06568354915873,0000.jpg,patches/query_0000.png,1.0597428104571673,115,253597.9743928643,3365012.0036448413,541854.5514269767,3363646.9609285328,27.340373376665184
2917,patches/dom_0001.png,5922,28.441240310668945,1,2421.0,905.0,35.38840103149414,7,2421.02593635931,904.7544882710672,362.32264211805597,0000.jpg,patches/query_0001.png,0.24687791269740544,160,253792.30759863567,3364860.425399392,542052.7680547398,3363500.6330430955,28.33978366809646
3278,patches/dom_0002.png,5792,26.124332427978516,2,1887.0,841.0,36.6343994140625,7,1887.4550722961587,839.9360944360917,364.31879978658816,0000.jpg,patches/query_0002.png,1.157145558538857,166,253842.87962704376,3364878.6937860525,542102.8219585672,3363520.2286322773,25.99459103983429
3737,patches/dom_0003.png,4805,17.819177627563477,3,736.0,1772.0,26.513214111328125,7,736.5174754506636,1771.9276154254583,371.93934072254655,0000.jpg,patches/query_0003.png,0.5225135105153543,167,253907.1742690884,3365016.84683915,542163.4135963058,3363659.9913309035,18.13884027650124
3464,patches/dom_0004.png,5516,14.419303894042969,4,1511.0,1089.0,11.793214797973633,7,1511.451583996835,1089.5781078512719,375.8152497340819,0000.jpg,patches/query_0004.png,0.7335780762125592,204,253868.86838018,3364917.3379598632,542127.7695038287,3363559.535065547,14.371581054649653
