accepted_texture,best_dx_px,best_dy_px,center_x,center_y,dom_depth,dom_dom_col,dom_dom_hit,dom_dom_row,dom_dom_sampling_mode,dom_dsm_height,dom_dsm_sampling_mode,dom_hit,dom_patch_rel,dom_ray_refine_iters,dom_x_raster,dom_y_raster,dom_z_ray,edge_chamfer_after,edge_chamfer_before,edge_chamfer_improvement,edge_overlap_after,edge_overlap_before,edge_overlay_after_rel,edge_overlay_before_rel,high_confidence,index,ncc_score,offset_norm_px,overlay_after_rel,overlay_before_rel,patch_rel_dir,phase_dx_px,phase_dy_px,phase_response,query_dom_gradient_orientation,query_dom_hist_distance,query_dom_ncc,query_dom_ssim,query_edge_count,query_gradient,query_patch_rel,query_render_gradient_orientation,query_render_hist_distance,query_render_ncc,query_render_ssim,render_dom_gradient_orientation,render_dom_hist_distance,render_dom_ncc,render_dom_ssim,render_edge_count,render_gradient,render_patch_rel,texture_score,triplet_rel
True,-80.0,-24.0,720,2768,363.1533203125,4459,True,6354,bilinear,28.258514404296875,bilinear,True,patches/patch_000/dom.png,10,254008.24397550334,3364799.945963234,28.258728591609895,7.303378105163574,11.498750686645508,4.195372581481934,0.5365426695842451,0.2777777777777778,patches/patch_000/edge_overlay_after.png,patches/patch_000/edge_overlay_before.png,False,0,0.6506196856498718,83.5224520712844,patches/patch_000/overlay_after.png,patches/patch_000/overlay_before.png,patches/patch_000,12.831760509242017,-92.18932850377101,0.027291059959679842,0.6488593220710754,0.4717907196089287,0.19055859744548798,0.19894664060829795,3240,67.39694213867188,patches/patch_000/query.png,0.6626031994819641,0.5047267666846411,0.6506197452545166,0.6536405150454465,0.6527047157287598,0.2810466719294036,0.1648966521024704,0.17365003286301764,2916,63.49230194091797,patches/patch_000/render.png,92.65230194091797,patches/patch_000/triplet_query_render_dom.png
True,80.0,-80.0,208,3280,369.5517578125,4606,True,5837,bilinear,22.13203239440918,bilinear,True,patches/patch_001/dom.png,10,254028.87666836515,3364872.3105996274,22.13218359527457,12.927995681762695,10.957388877868652,-1.970606803894043,0.2771908017402113,0.30241648898365314,patches/patch_001/edge_overlay_after.png,patches/patch_001/edge_overlay_before.png,False,1,0.1522206962108612,113.13708498984761,patches/patch_001/overlay_after.png,patches/patch_001/overlay_before.png,patches/patch_001,17.31766270578595,45.2328901060295,0.02492515539051965,0.6252177953720093,0.5619669622122735,0.10585564374923706,0.11498885976313239,3640,89.08988952636719,patches/patch_001/query.png,0.6139769554138184,0.5632154855750867,0.15222056210041046,0.15936528414631443,0.6280325055122375,0.36852647323883697,0.2760235369205475,0.28281124186510864,2814,64.50995635986328,patches/patch_001/render.png,92.64995635986328,patches/patch_001/triplet_query_render_dom.png
True,-77.0,-14.0,208,2256,365.4560546875,4955,True,6477,bilinear,25.291057586669922,bilinear,True,patches/patch_002/dom.png,10,254077.70001428894,3364782.693158793,25.29016827059297,4.9163641929626465,8.753555297851562,3.837191104888916,0.6295537340619308,0.5655172413793104,patches/patch_002/edge_overlay_after.png,patches/patch_002/edge_overlay_before.png,False,2,0.5713720321655273,78.26237921249263,patches/patch_002/overlay_after.png,patches/patch_002/overlay_before.png,patches/patch_002,-51.86249315376304,-15.28009577539325,0.015918768127448857,0.6414799094200134,0.5780309894609144,-0.2633768320083618,-0.24423009432928142,4946,77.2560043334961,patches/patch_002/query.png,0.6864404082298279,0.5949761608444396,0.5713722109794617,0.5732824747436408,0.6420946717262268,0.17986296703340154,-0.23662278056144714,-0.21639481423412552,2755,60.25039291381836,patches/patch_002/render.png,87.80039291381836,patches/patch_002/triplet_query_render_dom.png
True,-50.0,-20.0,1232,2768,372.4931640625,4164,True,6507,bilinear,19.12198257446289,bilinear,True,patches/patch_003/dom.png,10,253967.01088413762,3364778.4994902937,19.12141912297801,6.204794406890869,17.740398406982422,11.535604000091553,0.7620173364854216,0.17638588912886968,patches/patch_003/edge_overlay_after.png,patches/patch_003/edge_overlay_before.png,True,3,0.5997005105018616,53.85164807134504,patches/patch_003/overlay_after.png,patches/patch_003/overlay_before.png,patches/patch_003,-48.49279739417429,-20.12580678033683,0.18634155445033684,0.6436476111412048,0.515297967512694,0.06897635757923126,0.09453667609424853,2457,67.28489685058594,patches/patch_003/query.png,0.7194327712059021,0.5548818077305028,0.599699854850769,0.6082986154718159,0.6435558795928955,0.2508024411603574,0.05344819650053978,0.08246137405086584,1389,53.13739013671875,patches/patch_003/render.png,67.02739013671875,patches/patch_003/triplet_query_render_dom.png
True,37.0,-63.0,2256,208,376.3408203125,4457,True,8466,bilinear,13.279390335083008,bilinear,True,patches/patch_004/dom.png,10,254007.9687787583,3364504.131206978,13.278663878042664,8.54798698425293,23.047290802001953,14.499303817749023,0.5201793721973094,0.017482517482517484,patches/patch_004/edge_overlay_after.png,patches/patch_004/edge_overlay_before.png,True,4,0.5759571194648743,73.06161783043132,patches/patch_004/overlay_after.png,patches/patch_004/overlay_before.png,patches/patch_004,35.34567138822962,-55.28149253984756,0.23439720377791673,0.6362135410308838,0.4204493237931793,0.02630000375211239,0.05943712329209028,572,58.54920196533203,patches/patch_004/query.png,0.6804903745651245,0.4316105117261241,0.5759570002555847,0.5963132308334613,0.6503582000732422,0.18926113192653346,0.030468115583062172,0.06275718035402043,692,54.75575256347656,patches/patch_004/render.png,60.47575256347656,patches/patch_004/triplet_query_render_dom.png
True,80.0,-12.0,4816,3280,370.1689453125,1777,True,7475,bilinear,23.325021743774414,bilinear,True,patches/patch_005/dom.png,10,253632.59048462115,3364643.0032081716,23.325441437765676,35.02141571044922,31.557580947875977,-3.463834762573242,0.06818181818181818,0.04905660377358491,patches/patch_005/edge_overlay_after.png,patches/patch_005/edge_overlay_before.png,False,5,0.09713726490736008,80.89499366462674,patches/patch_005/overlay_after.png,patches/patch_005/overlay_before.png,patches/patch_005,8.013021762955844,-42.511565046830015,0.01935646025231108,0.6314417123794556,0.4653179146584234,-0.0049485075287520885,0.026306634367034933,1213,74.02964782714844,patches/patch_005/query.png,0.6367159485816956,0.36443173192877326,0.0971369817852974,0.1325085272165359,0.6364655494689941,0.28810329790129097,-0.012008809484541416,0.021473299403768246,530,52.49330520629883,patches/patch_005/render.png,57.793305206298825,patches/patch_005/triplet_query_render_dom.png
True,63.0,-71.0,1744,208,372.7685546875,4766,True,8274,bilinear,16.691585540771484,bilinear,True,patches/patch_006/dom.png,10,254051.19411123535,3364531.077413784,16.66536337657601,16.846221923828125,19.193431854248047,2.347209930419922,0.4253393665158371,0.39932030586236195,patches/patch_006/edge_overlay_after.png,patches/patch_006/edge_overlay_before.png,True,6,0.7329763174057007,94.92101980067429,patches/patch_006/overlay_after.png,patches/patch_006/overlay_before.png,patches/patch_006,19.809563558411284,75.05032941080832,0.07037651352584362,0.6591563820838928,0.577970850945834,-0.2265181988477707,-0.20389658930942456,3327,65.1060562133789,patches/patch_006/query.png,0.6523598432540894,0.5883727069943844,0.7329765558242798,0.7248405575089887,0.6437362432479858,0.27598342128931586,-0.19217675924301147,-0.17186332577819244,1177,45.282684326171875,patches/patch_006/render.png,57.05268432617187,patches/patch_006/triplet_query_render_dom.png
True,28.0,51.0,4304,2256,369.5166015625,2458,True,7921,bilinear,22.828853607177734,bilinear,True,patches/patch_007/dom.png,10,253727.96874905613,3364580.5107177505,22.82833015759934,10.180503845214844,33.1395263671875,22.959022521972656,0.9608433734939759,0.04406779661016949,patches/patch_007/edge_overlay_after.png,patches/patch_007/edge_overlay_before.png,True,7,0.8414139151573181,58.180752831155424,patches/patch_007/overlay_after.png,patches/patch_007/overlay_before.png,patches/patch_007,28.242072940522903,51.39846596361717,0.31583858479280025,0.63468337059021,0.632398608574037,-0.2560270130634308,-0.21884261599074278,727,69.24263763427734,patches/patch_007/query.png,0.6900039911270142,0.6787703999257506,0.8414146900177002,0.8421799402204093,0.6356126070022583,0.15882918388420297,-0.2603168189525604,-0.2242988789168601,295,50.36137390136719,patches/patch_007/render.png,53.31137390136719,patches/patch_007/triplet_query_render_dom.png
True,-56.0,-79.0,720,720,365.1259765625,5183,True,7589,bilinear,24.418535232543945,bilinear,True,patches/patch_008/dom.png,10,254109.58512886343,3364627.0181253958,24.41852498202678,42.673336029052734,61.35235595703125,18.679019927978516,1.6571428571428573,0.0,patches/patch_008/edge_overlay_after.png,patches/patch_008/edge_overlay_before.png,False,8,0.2460213601589203,96.83491106000976,patches/patch_008/overlay_after.png,patches/patch_008/overlay_before.png,patches/patch_008,-6.279189474278638,64.3017165746165,0.003242824343033135,0.6315788626670837,0.48829313231395316,0.14831994473934174,0.14214797731686377,208,61.69114303588867,patches/patch_008/query.png,0.6487927436828613,0.4009776266368435,0.24602192640304565,0.2885387393745241,0.6080222129821777,0.3268120822191885,0.18120309710502625,0.15095835559512677,365,51.106163024902344,patches/patch_008/render.png,53.18616302490234,patches/patch_008/triplet_query_render_dom.png
True,80.0,-30.0,3792,208,374.6103515625,3498,True,9015,bilinear,15.628007888793945,bilinear,True,patches/patch_009/dom.png,10,253873.65565801604,3364427.2475407273,15.627911799550134,9.376933097839355,29.00200653076172,19.625073432922363,0.42338072669826227,0.26582278481012656,patches/patch_009/edge_overlay_after.png,patches/patch_009/edge_overlay_before.png,False,9,0.5131957530975342,85.44003745317531,patches/patch_009/overlay_after.png,patches/patch_009/overlay_before.png,patches/patch_009,-35.146169247408096,1.6667676596044174,0.005572188296355307,0.6438208222389221,0.4089475864827821,-0.10100343078374863,-0.05901703795959198,1291,69.2116928100586,patches/patch_009/query.png,0.6530780792236328,0.4103752021841954,0.5131961703300476,0.5305653752469732,0.6393503546714783,0.2641875044781343,-0.07200892269611359,-0.031191662720169138,316,49.399662017822266,patches/patch_009/render.png,52.55966201782226,patches/patch_009/triplet_query_render_dom.png
