dom_col,dom_patch_rel,dom_row,dsm_height,index,manual_label,manual_label_choices,manual_note,measurement_x,measurement_y,patch_mean_absdiff_rgb,photo_id,projected_x,projected_y,projection_depth,query_image,query_patch_rel,reprojection_error_px,tiepoint_index,tiepoint_raster_x,tiepoint_raster_y,tiepoint_xml_x,tiepoint_xml_y,tiepoint_xml_z
1529,patches/0000/dom_0000.png,4840,26.745466232299805,0,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,3434.0,3177.0,36.27107620239258,7,3433.1145980235024,3176.417661469307,365.06568354915873,0000.jpg,patches/0000/query_0000.png,1.0597428104571673,115,253597.9743928643,3365012.0036448413,541854.5514269767,3363646.9609285328,27.340373376665184
2917,patches/0000/dom_0001.png,5922,28.441240310668945,1,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,2421.0,905.0,35.15555953979492,7,2421.02593635931,904.7544882710672,362.32264211805597,0000.jpg,patches/0000/query_0001.png,0.24687791269740544,160,253792.30759863567,3364860.425399392,542052.7680547398,3363500.6330430955,28.33978366809646
3278,patches/0000/dom_0002.png,5792,26.124332427978516,2,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,1887.0,841.0,39.69014358520508,7,1887.4550722961587,839.9360944360917,364.31879978658816,0000.jpg,patches/0000/query_0002.png,1.157145558538857,166,253842.87962704376,3364878.6937860525,542102.8219585672,3363520.2286322773,25.99459103983429
3737,patches/0000/dom_0003.png,4805,17.819177627563477,3,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,736.0,1772.0,24.428699493408203,7,736.5174754506636,1771.9276154254583,371.93934072254655,0000.jpg,patches/0000/query_0003.png,0.5225135105153543,167,253907.1742690884,3365016.84683915,542163.4135963058,3363659.9913309035,18.13884027650124
3464,patches/0000/dom_0004.png,5516,14.419303894042969,4,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,1511.0,1089.0,13.403401374816895,7,1511.451583996835,1089.5781078512719,375.8152497340819,0000.jpg,patches/0000/query_0004.png,0.7335780762125592,204,253868.86838018,3364917.3379598632,542127.7695038287,3363559.535065547,14.371581054649653
2563,patches/0000/dom_0005.png,6027,24.799720764160156,5,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,2934.0,1019.0,83.58455657958984,7,2933.905702748518,1018.5694857317516,366.69249305667796,0000.jpg,patches/0000/query_0005.png,0.44072044064529065,214,253742.72740205677,3364845.70182778,542003.6114309955,3363484.6061533373,24.317717212927903
2226,patches/0000/dom_0006.png,6183,28.3570613861084,6,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,3459.0,1045.0,26.044208526611328,7,3459.5437708272475,1044.6067102632594,364.0747447751219,0000.jpg,patches/0000/query_0006.png,0.6710912975079613,221,253695.53951970127,3364823.886503589,541957.0333619833,3363461.55569511,27.252506220059388
2473,patches/0000/dom_0007.png,5115,25.786157608032227,7,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,2440.0,2218.0,24.558279037475586,7,2439.754269490228,2218.344932572552,365.4211451712171,0000.jpg,patches/0000/query_0007.png,0.4235114674244551,257,253730.17561016046,3364973.5554761114,541987.6814833035,3363612.040718725,25.916110545927495
2137,patches/0000/dom_0008.png,6113,27.21097755432129,8,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,3525.0,1191.0,23.739778518676758,7,3525.185045261631,1190.6906788343053,364.1780580618824,0000.jpg,patches/0000/query_0008.png,0.36044601870285586,259,253683.05778280468,3364833.6955426466,541944.3002622921,3363471.0274708695,27.26131922776517
1304,patches/0000/dom_0009.png,6522,24.874858856201172,9,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,4748.0,1262.0,30.112512588500977,7,4749.414489238517,1261.2416427077926,367.6108682094936,0000.jpg,patches/0000/query_0009.png,1.6049565690458245,267,253566.43887330565,3364776.416354846,541829.2776356222,3363410.6981498185,24.60562481547754
2760,patches/0000/dom_0010.png,3865,19.286848068237305,10,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,1323.0,3508.0,28.257415771484375,7,1323.9787583991554,3506.320617270915,373.9573878958953,0000.jpg,patches/0000/query_0010.png,1.9437835153806875,300,253770.27844360305,3365148.477854644,542023.1235257793,3363787.9069308625,17.39420327060577
3266,patches/0000/dom_0011.png,5198,15.369977951049805,11,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,1540.0,1597.0,16.4451847076416,7,1540.7577028207509,1596.9022601770378,375.8151896874365,0000.jpg,patches/0000/query_0011.png,0.7639807835060427,309,253841.13405262702,3364961.8049620586,542098.8760623944,3363603.237335544,14.661959538731253
