iteration,center_east_m,center_north_m,center_yaw_deg,step_xy,step_yaw,best_candidate,best_objective,best_chamfer,best_overlap,moved,num_evaluations
0,0.0,0.0,0.5,2.0,0.5,ez0_nz0_yp0p5,9.043711970902418,9.588724136352539,0.5450121654501217,True,7
1,-2.0,0.0,0.5,2.0,0.5,em2_nz0_yp0p5,8.764259968807822,9.418996810913086,0.6547368421052632,True,12
2,-4.0,0.0,0.5,2.0,0.5,em4_nz0_yp0p5,8.03171345240164,8.662717819213867,0.631004366812227,True,16
3,-6.0,0.0,0.5,2.0,0.5,em6_nz0_yp0p5,7.118999460862146,7.7730278968811035,0.6540284360189573,True,21
4,-6.0,0.0,0.0,2.0,0.5,em6_nz0_yz0,7.024766670389378,7.735404968261719,0.7106382978723405,True,26
5,-6.0,0.0,0.0,1.0,0.25,em6_nz0_yz0,7.024766670389378,7.735404968261719,0.7106382978723405,False,30
6,-6.0,1.0,0.0,1.0,0.25,em6_np1_yz0,6.575668986745062,7.34524393081665,0.7695749440715883,True,36
7,-6.0,1.0,0.0,0.5,0.125,em6_np1_yz0,6.575668986745062,7.34524393081665,0.7695749440715883,False,40
