image,candidate,rotation_convention,axis_transform_key,axis_transform,principal_point_mode,distortion_enabled,sampling_mode,ray_step_m,render_scale,edge_chamfer,edge_overlap_ratio,valid_depth_ratio,query_edge_count,render_edge_count,edge_overlap_count,render_time_sec
0000.jpg,screen_020_R_xml_ppp_flip_y_dist_nearest_step2p0_scale0p25,R_xml,ppp,"[1.0, 1.0, 1.0]",flip_y,True,nearest,2.0,0.25,11.247528076171875,0.2912405513561583,0.9910852713178294,21217,15743,4585,2.720492656000715
0000.jpg,screen_021_R_xml_ppp_flip_y_dist_bilinear_step2p0_scale0p25,R_xml,ppp,"[1.0, 1.0, 1.0]",flip_y,True,bilinear,2.0,0.25,11.211827278137207,0.292070660114225,0.9910852713178294,21217,15058,4398,7.135199544001807
0000.jpg,screen_022_R_xml_ppp_flip_y_dist_nearest_step1p0_scale0p25,R_xml,ppp,"[1.0, 1.0, 1.0]",flip_y,True,nearest,1.0,0.25,11.120893478393555,0.2913520715690629,0.9912200876306033,21217,15761,4592,6.185709683002642
0000.jpg,screen_023_R_xml_ppp_flip_y_dist_bilinear_step1p0_scale0p25,R_xml,ppp,"[1.0, 1.0, 1.0]",flip_y,True,bilinear,1.0,0.25,11.397422790527344,0.3003140539125883,0.9912200876306033,21217,15284,4590,13.966895432000456
0000.jpg,screen_024_R_xml_ppm_xml_nodist_nearest_step10p0_scale0p25,R_xml,ppm,"[1.0, 1.0, -1.0]",xml,False,nearest,10.0,0.25,inf,0.0,0.0,21217,0,0,1.4886043229998904
0000.jpg,screen_025_R_xml_ppm_xml_nodist_bilinear_step10p0_scale0p25,R_xml,ppm,"[1.0, 1.0, -1.0]",xml,False,bilinear,10.0,0.25,inf,0.0,0.0,21217,0,0,3.2287238679964503
0000.jpg,screen_026_R_xml_ppm_xml_nodist_nearest_step2p0_scale0p25,R_xml,ppm,"[1.0, 1.0, -1.0]",xml,False,nearest,2.0,0.25,inf,0.0,0.0,21217,0,0,4.921292368999275
0000.jpg,screen_027_R_xml_ppm_xml_nodist_bilinear_step2p0_scale0p25,R_xml,ppm,"[1.0, 1.0, -1.0]",xml,False,bilinear,2.0,0.25,inf,0.0,0.0,21217,0,0,10.575402866998047
0000.jpg,screen_028_R_xml_ppm_xml_nodist_nearest_step1p0_scale0p25,R_xml,ppm,"[1.0, 1.0, -1.0]",xml,False,nearest,1.0,0.25,inf,0.0,0.0,21217,0,0,9.536511024998617
0000.jpg,screen_029_R_xml_ppm_xml_nodist_bilinear_step1p0_scale0p25,R_xml,ppm,"[1.0, 1.0, -1.0]",xml,False,bilinear,1.0,0.25,inf,0.0,0.0,21217,0,0,20.007523568998295
0000.jpg,screen_030_R_xml_ppm_xml_dist_nearest_step10p0_scale0p25,R_xml,ppm,"[1.0, 1.0, -1.0]",xml,True,nearest,10.0,0.25,inf,0.0,0.0,21217,0,0,1.1198238219985797
0000.jpg,screen_031_R_xml_ppm_xml_dist_bilinear_step10p0_scale0p25,R_xml,ppm,"[1.0, 1.0, -1.0]",xml,True,bilinear,10.0,0.25,inf,0.0,0.0,21217,0,0,2.510766733001219
0000.jpg,screen_032_R_xml_ppm_xml_dist_nearest_step2p0_scale0p25,R_xml,ppm,"[1.0, 1.0, -1.0]",xml,True,nearest,2.0,0.25,inf,0.0,0.0,21217,0,0,4.467447850001918
0000.jpg,screen_033_R_xml_ppm_xml_dist_bilinear_step2p0_scale0p25,R_xml,ppm,"[1.0, 1.0, -1.0]",xml,True,bilinear,2.0,0.25,inf,0.0,0.0,21217,0,0,11.30102995299967
